canonical_id,file,tokens_before,tokens_after
address,Address.java,51,15
classroom,Classroom.java,247,16
delay,Delay.java,438,37
managerclassroom,ManagerClassroom.java,75,18
managerregister,ManagerRegister.java,91,18
managervotes,ManagerVotes.java,77,20
note,Note.java,357,19
registerline,RegisterLine.java,214,18
role,Role.java,95,8
servletaddremoveteachingsasaddress,ServletAddRemoveTeachingsAsAddress.java,283,29
servletassignstudentclassroom,ServletAssignStudentClassroom.java,118,16
servletdeleteclassroom,ServletDeleteClassroom.java,74,20
servletdeletenote,ServletDeleteNote.java,326,37
servletdeletereport,ServletDeleteReport.java,183,19
servletdeleteuser,ServletDeleteUser.java,102,11
servletinsertaddress,ServletInsertAddress.java,76,20
servletinsertnewnote,ServletInsertNewNote.java,77,11
servletloadreport,ServletLoadReport.java,1369,56
servletlogout,ServletLogout.java,64,13
servletremovestudentclassroom,ServletRemoveStudentClassroom.java,239,46
servletremoveteachingasteacher,ServletRemoveTeachingAsTeacher.java,268,16
servletshowjustifylist,ServletShowJustifyList.java,52,21
servletshownotedetails,ServletShowNoteDetails.java,74,19
servletshowteacherteachingformbyclass,ServletShowTeacherTeachingFormByClass.java,14,11
servletshowuserdetails,ServletShowUserDetails.java,77,23
servletshowuserteachingform,ServletShowUserTeachingForm.java,243,21
servletupdateregister,ServletUpdateRegister.java,135,13
servletupdatereport,ServletUpdateReport.java,70,21
servletupdateteaching,ServletUpdateTeaching.java,1146,58
servletupdateuser,ServletUpdateUser.java,95,18
teaching,Teaching.java,400,27
userlistitem,UserListItem.java,75,16
votes,Votes.java,457,28
manageruser,managerUser.java,1669,49
