canonical_id,file,tokens_before,tokens_after
smos1,SMOS1.txt,113,36
smos10,SMOS10.txt,105,33
smos11,SMOS11.txt,137,45
smos12,SMOS12.txt,116,42
smos13,SMOS13.txt,103,33
smos14,SMOS14.txt,141,44
smos15,SMOS15.txt,85,35
smos16,SMOS16.txt,77,26
smos17,SMOS17.txt,58,23
smos18,SMOS18.txt,129,41
smos19,SMOS19.txt,89,32
smos2,SMOS2.txt,40,19
smos20,SMOS20.txt,102,35
smos21,SMOS21.txt,123,40
smos22,SMOS22.txt,73,25
smos23,SMOS23.txt,129,40
smos24,SMOS24.txt,67,26
smos25,SMOS25.txt,127,44
smos26,SMOS26.txt,77,27
smos27,SMOS27.txt,100,38
smos28,SMOS28.txt,108,45
smos29,SMOS29.txt,132,53
smos3,SMOS3.txt,45,16
smos30,SMOS30.txt,113,50
smos31,SMOS31.txt,127,51
smos32,SMOS32.txt,102,38
smos33,SMOS33.txt,93,40
smos34,SMOS34.txt,94,41
smos35,SMOS35.txt,79,32
smos36,SMOS36.txt,104,40
smos37,SMOS37.txt,121,48
smos38,SMOS38.txt,82,30
smos39,SMOS39.txt,80,30
smos4,SMOS4.txt,72,28
smos40,SMOS40.txt,85,34
smos41,SMOS41.txt,85,37
smos42,SMOS42.txt,74,27
smos43,SMOS43.txt,105,39
smos44,SMOS44.txt,92,35
smos45,SMOS45.txt,120,38
smos46,SMOS46.txt,162,49
smos47,SMOS47.txt,107,41
smos48,SMOS48.txt,98,38
smos49,SMOS49.txt,83,27
smos5,SMOS5.txt,60,20
smos50,SMOS50.txt,79,31
smos51,SMOS51.txt,86,32
smos52,SMOS52.txt,100,37
smos53,SMOS53.txt,60,21
smos54,SMOS54.txt,142,50
smos55,SMOS55.txt,126,47
smos56,SMOS56.txt,95,33
smos57,SMOS57.txt,89,37
smos58,SMOS58.txt,132,44
smos59,SMOS59.txt,74,24
smos6,SMOS6.txt,142,47
smos60,SMOS60.txt,82,37
smos61,SMOS61.txt,81,34
smos62,SMOS62.txt,71,29
smos63,SMOS63.txt,78,33
smos64,SMOS64.txt,102,37
smos65,SMOS65.txt,108,45
smos66,SMOS66.txt,125,43
smos67,SMOS67.txt,80,37
smos7,SMOS7.txt,78,29
smos8,SMOS8.txt,119,40
smos9,SMOS9.txt,75,25
