requirement_id,requirement_id_norm,correct_code_file,correct_code_file_norm,found,rank_found,top_prediction,top_score,retrieved_in_top_k
SMOS1,smos1,User.java.java,user,False,,servletinsertaddress,7.647229201676804,False
SMOS1,smos1,Role.java,role,False,,servletinsertaddress,7.647229201676804,False
SMOS1,smos1,UserListItem.java,userlistitem,True,9.0,servletinsertaddress,7.647229201676804,True
SMOS1,smos1,managerUser.java,manageruser,True,8.0,servletinsertaddress,7.647229201676804,True
SMOS1,smos1,ServletLogin.java,servletlogin,False,,servletinsertaddress,7.647229201676804,False
SMOS1,smos1,ServletLogout.java,servletlogout,True,10.0,servletinsertaddress,7.647229201676804,True
SMOS1,smos1,ServletAlterPersonalDate.java,servletalterpersonaldate,False,,servletinsertaddress,7.647229201676804,False
SMOS10,smos10,User.java,user,False,,role,8.972095281998405,False
SMOS10,smos10,Role.java,role,True,1.0,role,8.972095281998405,True
SMOS10,smos10,UserListItem.java,userlistitem,False,,role,8.972095281998405,False
SMOS10,smos10,managerUser.java,manageruser,True,3.0,role,8.972095281998405,True
SMOS10,smos10,ServletShowUserTeachingForm.java,servletshowuserteachingform,True,8.0,role,8.972095281998405,True
SMOS10,smos10,ServletRemoveStudentClassroom.java,servletremovestudentclassroom,False,,role,8.972095281998405,False
SMOS10,smos10,ServletShowTeacherTeachingFormByClass.java,servletshowteacherteachingformbyclass,True,4.0,role,8.972095281998405,True
SMOS10,smos10,ServletShowUserRoleForm.java,servletshowuserroleform,False,,role,8.972095281998405,False
SMOS10,smos10,ServletAddTeachingAsTeacher.java,servletaddteachingasteacher,False,,role,8.972095281998405,False
SMOS10,smos10,ServletAssignParentStudent.java,servletassignparentstudent,False,,role,8.972095281998405,False
SMOS10,smos10,ServletAssignRole.java,servletassignrole,False,,role,8.972095281998405,False
SMOS10,smos10,ServletInsertUser.java,servletinsertuser,False,,role,8.972095281998405,False
SMOS10,smos10,ServletRemoveTeachingAsTeacher.java,servletremoveteachingasteacher,True,10.0,role,8.972095281998405,True
SMOS10,smos10,ServletAssignStudentClassroom.java,servletassignstudentclassroom,True,2.0,role,8.972095281998405,True
SMOS10,smos10,ServletDeleteUser.java,servletdeleteuser,False,,role,8.972095281998405,False
SMOS10,smos10,ServletReportTeachings.java,servletreportteachings,False,,role,8.972095281998405,False
SMOS10,smos10,ServletUpdateUser.java,servletupdateuser,False,,role,8.972095281998405,False
SMOS10,smos10,ServletShowUserList.java,servletshowuserlist,False,,role,8.972095281998405,False
SMOS10,smos10,ServletShowUserDetails.java,servletshowuserdetails,True,9.0,role,8.972095281998405,True
SMOS11,smos11,User.java,user,False,,note,8.72646604929918,False
SMOS11,smos11,Role.java,role,True,5.0,note,8.72646604929918,True
SMOS11,smos11,UserListItem.java,userlistitem,True,8.0,note,8.72646604929918,True
SMOS11,smos11,managerUser.java,manageruser,True,6.0,note,8.72646604929918,True
SMOS11,smos11,ServletShowUserTeachingForm.java,servletshowuserteachingform,True,3.0,note,8.72646604929918,True
SMOS11,smos11,ServletRemoveStudentClassroom.java,servletremovestudentclassroom,False,,note,8.72646604929918,False
SMOS11,smos11,ServletShowTeacherTeachingFormByClass.java,servletshowteacherteachingformbyclass,True,4.0,note,8.72646604929918,True
SMOS11,smos11,ServletShowUserRoleForm.java,servletshowuserroleform,False,,note,8.72646604929918,False
SMOS11,smos11,ServletAddTeachingAsTeacher.java,servletaddteachingasteacher,False,,note,8.72646604929918,False
SMOS11,smos11,ServletAssignParentStudent.java,servletassignparentstudent,False,,note,8.72646604929918,False
SMOS11,smos11,ServletAssignRole.java,servletassignrole,False,,note,8.72646604929918,False
SMOS11,smos11,ServletInsertUser.java,servletinsertuser,False,,note,8.72646604929918,False
SMOS11,smos11,ServletRemoveTeachingAsTeacher.java,servletremoveteachingasteacher,True,9.0,note,8.72646604929918,True
SMOS11,smos11,ServletAssignStudentClassroom.java,servletassignstudentclassroom,True,7.0,note,8.72646604929918,True
SMOS11,smos11,ServletDeleteUser.java,servletdeleteuser,False,,note,8.72646604929918,False
SMOS11,smos11,ServletReportTeachings.java,servletreportteachings,False,,note,8.72646604929918,False
SMOS11,smos11,ServletUpdateUser.java,servletupdateuser,False,,note,8.72646604929918,False
SMOS11,smos11,ServletShowUserList.java,servletshowuserlist,False,,note,8.72646604929918,False
SMOS11,smos11,ServletShowUserDetails.java,servletshowuserdetails,False,,note,8.72646604929918,False
SMOS12,smos12,User.java,user,False,,role,6.410461044655897,False
SMOS12,smos12,Role.java,role,True,1.0,role,6.410461044655897,True
SMOS12,smos12,UserListItem.java,userlistitem,False,,role,6.410461044655897,False
SMOS12,smos12,managerUser.java,manageruser,True,5.0,role,6.410461044655897,True
SMOS12,smos12,ServletShowUserTeachingForm.java,servletshowuserteachingform,True,6.0,role,6.410461044655897,True
SMOS12,smos12,ServletRemoveStudentClassroom.java,servletremovestudentclassroom,False,,role,6.410461044655897,False
