requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
SMOS1,7,3,0,0,3,8.0,9.0,0.4286,mixed
SMOS10,19,7,1,4,7,1.0,5.285714285714286,0.3684,mixed
SMOS11,19,7,0,3,7,3.0,6.0,0.3684,mixed
SMOS12,19,6,1,3,6,1.0,5.5,0.3158,mixed
SMOS13,19,5,1,3,5,1.0,4.8,0.2632,mixed
SMOS14,20,3,0,2,3,2.0,5.666666666666667,0.15,mixed
SMOS15,20,2,1,2,2,1.0,2.5,0.1,mixed
SMOS16,20,1,0,0,1,10.0,10.0,0.05,mixed
SMOS17,20,1,0,1,1,2.0,2.0,0.05,mixed
SMOS18,20,3,0,1,3,4.0,6.0,0.15,mixed
SMOS19,20,1,0,1,1,4.0,4.0,0.05,mixed
SMOS2,7,1,0,0,1,8.0,8.0,0.1429,mixed
SMOS20,20,4,0,1,4,4.0,7.25,0.2,mixed
SMOS21,20,1,1,1,1,1.0,1.0,0.05,mixed
SMOS22,20,1,0,1,1,4.0,4.0,0.05,mixed
SMOS23,20,1,0,0,1,10.0,10.0,0.05,mixed
SMOS24,20,1,0,0,1,9.0,9.0,0.05,mixed
SMOS25,20,1,0,0,1,8.0,8.0,0.05,mixed
SMOS26,20,2,0,0,2,7.0,8.0,0.1,mixed
SMOS27,17,4,0,2,4,2.0,6.25,0.2353,mixed
SMOS28,17,4,1,3,4,1.0,3.25,0.2353,mixed
SMOS29,17,4,1,3,4,1.0,4.25,0.2353,mixed
SMOS3,7,2,1,1,2,1.0,4.0,0.2857,mixed
SMOS30,17,4,1,3,4,1.0,4.0,0.2353,mixed
SMOS31,17,3,0,1,3,2.0,7.0,0.1765,mixed
SMOS32,17,4,1,3,4,1.0,3.75,0.2353,mixed
SMOS33,17,3,1,1,3,1.0,5.666666666666667,0.1765,mixed
SMOS34,17,3,0,2,3,2.0,3.6666666666666665,0.1765,mixed
SMOS35,17,3,1,2,3,1.0,3.6666666666666665,0.1765,mixed
SMOS36,17,2,0,1,2,3.0,6.5,0.1176,mixed
SMOS37,17,2,1,1,2,1.0,5.0,0.1176,mixed
SMOS38,17,4,0,1,4,3.0,6.0,0.2353,mixed
SMOS39,17,3,1,2,3,1.0,4.0,0.1765,mixed
SMOS4,7,2,1,1,2,1.0,4.0,0.2857,mixed
SMOS40,17,3,1,1,3,1.0,5.333333333333333,0.1765,mixed
SMOS41,17,3,1,1,3,1.0,6.666666666666667,0.1765,mixed
SMOS42,17,3,0,3,3,2.0,3.6666666666666665,0.1765,mixed
SMOS43,17,4,1,3,4,1.0,5.0,0.2353,mixed
SMOS44,17,4,1,1,4,1.0,5.75,0.2353,mixed
SMOS45,9,1,0,0,1,10.0,10.0,0.1111,mixed
SMOS46,9,3,0,1,3,4.0,7.333333333333333,0.3333,mixed
SMOS47,9,2,0,0,2,6.0,6.5,0.2222,mixed
SMOS48,9,2,0,1,2,5.0,7.5,0.2222,mixed
SMOS49,19,3,1,3,3,1.0,3.3333333333333335,0.1579,mixed
SMOS5,19,5,0,2,5,2.0,5.8,0.2632,mixed
SMOS50,19,3,1,1,3,1.0,4.666666666666667,0.1579,mixed
SMOS51,19,5,1,1,5,1.0,6.2,0.2632,mixed
SMOS52,10,2,0,1,2,2.0,6.0,0.2,mixed
SMOS53,17,3,0,3,3,2.0,3.0,0.1765,mixed
SMOS54,17,2,1,1,2,1.0,3.5,0.1176,mixed
SMOS55,17,2,1,1,2,1.0,4.0,0.1176,mixed
SMOS56,10,2,1,1,2,1.0,4.5,0.2,mixed
SMOS57,10,4,1,3,4,1.0,4.75,0.4,mixed
SMOS58,9,1,0,1,1,4.0,4.0,0.1111,mixed
SMOS59,9,3,0,1,3,5.0,7.0,0.3333,mixed
SMOS6,19,5,0,3,5,2.0,5.4,0.2632,mixed
SMOS60,10,4,1,2,4,1.0,5.0,0.4,mixed
SMOS61,10,5,1,3,5,1.0,5.4,0.5,mixed
SMOS62,9,3,1,1,3,1.0,5.0,0.3333,mixed
SMOS63,10,2,1,2,2,1.0,2.0,0.2,mixed
SMOS64,10,2,0,1,2,2.0,4.5,0.2,mixed
SMOS65,10,2,1,2,2,1.0,2.0,0.2,mixed
SMOS66,9,2,0,0,2,9.0,9.5,0.2222,mixed
SMOS67,19,5,0,1,5,2.0,7.0,0.2632,mixed
SMOS7,19,4,0,2,4,2.0,5.25,0.2105,mixed
SMOS8,19,5,1,2,5,1.0,5.4,0.2632,mixed
SMOS9,19,6,0,2,6,2.0,6.333333333333333,0.3158,mixed
