requirement_id,requirement_id_norm,correct_code_file,correct_code_file_norm,found,rank_found,top_prediction,top_score,retrieved_in_top_k
SMOS10,smos10,ServletShowUserDetails.java,servletshowuserdetails,True,1.0,servletshowuserdetails,0.4706637263298034,True
SMOS14,smos14,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.5559250712394714,True
SMOS15,smos15,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.5838148593902588,True
SMOS22,smos22,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.6152042746543884,True
SMOS23,smos23,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.5953831076622009,True
SMOS24,smos24,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.5132779479026794,True
SMOS25,smos25,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.5808860659599304,True
SMOS26,smos26,ServletAddRemoveTeachingsAsAddress.java,servletaddremoveteachingsasaddress,True,1.0,servletaddremoveteachingsasaddress,0.6215574145317078,True
SMOS28,smos28,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.5215872526168823,True
SMOS29,smos29,RegisterLine.java,registerline,True,1.0,registerline,0.5703884363174438,True
SMOS3,smos3,ServletLogout.java,servletlogout,True,1.0,servletlogout,0.3950096368789673,True
SMOS31,smos31,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.5325015783309937,True
SMOS34,smos34,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.4871243238449096,True
SMOS37,smos37,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.5775029063224792,True
SMOS40,smos40,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.4254729747772217,True
SMOS42,smos42,ManagerRegister.java,managerregister,True,1.0,managerregister,0.4786657392978668,True
SMOS43,smos43,ManagerRegister.java,managerregister,True,1.0,managerregister,0.5437942743301392,True
SMOS5,smos5,ServletShowUserDetails.java,servletshowuserdetails,True,1.0,servletshowuserdetails,0.5028454065322876,True
SMOS53,smos53,ServletDeleteNote.java,servletdeletenote,True,1.0,servletdeletenote,0.4157880544662475,True
SMOS54,smos54,RegisterLine.java,registerline,True,1.0,registerline,0.5780506134033203,True
SMOS55,smos55,RegisterLine.java,registerline,True,1.0,registerline,0.5744536519050598,True
SMOS61,smos61,RegisterLine.java,registerline,True,1.0,registerline,0.5884141325950623,True
SMOS7,smos7,ServletShowUserDetails.java,servletshowuserdetails,True,1.0,servletshowuserdetails,0.5120319128036499,True
