requirement_id,requirement_id_norm,correct_code_file,correct_code_file_norm,found,rank_found,top_prediction,top_score,retrieved_in_top_k
SMOS10,smos10,Role.java,role,True,1.0,role,0.2891105052786973,True
SMOS12,smos12,Role.java,role,True,1.0,role,0.1778600332447897,True
SMOS13,smos13,Role.java,role,True,1.0,role,0.3257946586471239,True
SMOS15,smos15,Classroom.java,classroom,True,1.0,classroom,0.2369009051045093,True
SMOS28,smos28,Note.java,note,True,1.0,note,0.2253599611854281,True
SMOS29,smos29,RegisterLine.java,registerline,True,1.0,registerline,0.2674514898909651,True
SMOS3,smos3,ServletLogout.java,servletlogout,True,1.0,servletlogout,0.2428731803279857,True
SMOS30,smos30,ManagerRegister.java,managerregister,True,1.0,managerregister,0.2574967259896359,True
SMOS32,smos32,RegisterLine.java,registerline,True,1.0,registerline,0.2170613816233813,True
SMOS33,smos33,Note.java,note,True,1.0,note,0.2225186484396374,True
SMOS35,smos35,Note.java,note,True,1.0,note,0.2761785287354473,True
SMOS37,smos37,Note.java,note,True,1.0,note,0.2635738858841838,True
SMOS39,smos39,Note.java,note,True,1.0,note,0.3243471852457886,True
SMOS4,smos4,UserListItem.java,userlistitem,True,1.0,userlistitem,0.1952054357141291,True
SMOS40,smos40,Note.java,note,True,1.0,note,0.22459546386306,True
SMOS41,smos41,Note.java,note,True,1.0,note,0.3570327932331244,True
SMOS42,smos42,ManagerRegister.java,managerregister,True,1.0,managerregister,0.2244754452795374,True
SMOS43,smos43,Note.java,note,True,1.0,note,0.2192215722588992,True
SMOS44,smos44,Note.java,note,True,1.0,note,0.2812454459542446,True
SMOS49,smos49,Role.java,role,True,1.0,role,0.2280318169521556,True
SMOS50,smos50,Role.java,role,True,1.0,role,0.2045821052329437,True
SMOS51,smos51,Role.java,role,True,1.0,role,0.1952382713750575,True
SMOS54,smos54,RegisterLine.java,registerline,True,1.0,registerline,0.2301996249839463,True
SMOS55,smos55,RegisterLine.java,registerline,True,1.0,registerline,0.2186728301089291,True
SMOS56,smos56,Note.java,note,True,1.0,note,0.3333949339086713,True
SMOS57,smos57,Note.java,note,True,1.0,note,0.2967425067594041,True
SMOS60,smos60,Note.java,note,True,1.0,note,0.2847357408176793,True
SMOS61,smos61,Note.java,note,True,1.0,note,0.2682188726629797,True
SMOS62,smos62,ServletUpdateReport.java,servletupdatereport,True,1.0,servletupdatereport,0.2130040165531057,True
SMOS65,smos65,Note.java,note,True,1.0,note,0.2894435550101606,True
SMOS8,smos8,ServletShowUserDetails.java,servletshowuserdetails,True,1.0,servletshowuserdetails,0.2081377072646723,True
