requirement_id,rank,code_file,score
smos1,1,servletinsertaddress,0.8121878584504281
smos1,2,servletlogout,0.7200105018515611
smos1,3,servletloadreport,0.7079698890447617
smos1,4,managerclassroom,0.5241423663633469
smos1,5,address,0.48242209173208095
smos1,6,manageruser,0.46554057760188866
smos1,7,servletshowuserdetails,0.4591729116289799
smos1,8,delay,0.44197855827980326
smos1,9,userlistitem,0.4191767667515748
smos1,10,servletshowteacherteachingformbyclass,0.41287590321681134
smos10,1,role,0.7686876473793784
smos10,2,servletshowuserdetails,0.6500245500080584
smos10,3,manageruser,0.6163206375470643
smos10,4,managerregister,0.586361079412813
smos10,5,servletremovestudentclassroom,0.54944152013174
smos10,6,servletremoveteachingasteacher,0.5004959668434439
smos10,7,servletloadreport,0.47346003935832115
smos10,8,servletshownotedetails,0.4650961643502588
smos10,9,servletdeletereport,0.4597137851591141
smos10,10,delay,0.4471414828079252
smos11,1,servletremoveteachingasteacher,1.0
smos11,2,servletaddremoveteachingsasaddress,0.9906738102436066
smos11,3,servletshowteacherteachingformbyclass,0.9555604381026757
smos11,4,servletdeletenote,0.9317706189223762
smos11,5,servletassignstudentclassroom,0.8820583820343018
smos11,6,role,0.7815237581021774
smos11,7,servletremovestudentclassroom,0.647709969438228
smos11,8,servletshowuserteachingform,0.632492671909072
smos11,9,servletdeletereport,0.6193297190542252
smos11,10,classroom,0.6044439494660359
smos12,1,servletassignstudentclassroom,0.8578972661269766
smos12,2,role,0.7346560894734848
smos12,3,servletremovestudentclassroom,0.7301153962744259
smos12,4,servletupdatereport,0.6919572027013837
smos12,5,servletremoveteachingasteacher,0.6428430642402945
smos12,6,servletdeleteclassroom,0.6261239394977882
smos12,7,servletdeletereport,0.6159575266714127
smos12,8,manageruser,0.5945017910829072
smos12,9,managerclassroom,0.5941864067312398
smos12,10,managerregister,0.5882652383767994
smos13,1,role,0.8089163420567314
smos13,2,servletaddremoveteachingsasaddress,0.7536960721069289
smos13,3,servletupdateteaching,0.6560331739335461
smos13,4,servletremovestudentclassroom,0.6550715340428553
smos13,5,servletshowuserdetails,0.6436105405852923
smos13,6,servletshowjustifylist,0.6338488194549629
smos13,7,classroom,0.6147700667431812
smos13,8,servletloadreport,0.5874113647748861
smos13,9,userlistitem,0.5858740032564815
smos13,10,servletshowuserteachingform,0.5416713771910008
smos14,1,classroom,0.9149757027626038
smos14,2,managervotes,0.8944562077522278
smos14,3,manageruser,0.8265992090845116
smos14,4,servletaddremoveteachingsasaddress,0.8102350128932136
smos14,5,servletremovestudentclassroom,0.7943778249261924
smos14,6,servletupdateteaching,0.7832734850833967
smos14,7,servletloadreport,0.7403687983751297
smos14,8,address,0.6881587226015826
smos14,9,servletshowuserteachingform,0.6725477184261339
smos14,10,servletshowteacherteachingformbyclass,0.6401799979646068
smos15,1,classroom,0.8822854654388592
smos15,2,servletaddremoveteachingsasaddress,0.8372115982813972
smos15,3,delay,0.8175949156284332
smos15,4,servletshowuserdetails,0.6798569876342077
smos15,5,servletremovestudentclassroom,0.6762807219803693
smos15,6,servletshowuserteachingform,0.6640476679287848
smos15,7,servletshowjustifylist,0.6279107067192146
smos15,8,servletdeletenote,0.6250894843470927
smos15,9,servletshownotedetails,0.5933256143698573
smos15,10,role,0.5913784262792853
smos16,1,managerregister,0.709691992902352
smos16,2,userlistitem,0.670793008888882
smos16,3,servletdeleteuser,0.6553650683945169
smos16,4,servletupdateuser,0.6417817660546632
smos16,5,manageruser,0.6076690844229053
smos16,6,servletshowjustifylist,0.5993722435348807
smos16,7,servletlogout,0.5865736815225141
smos16,8,servletloadreport,0.5849302022268209
smos16,9,servletdeletenote,0.5814410994677626
smos16,10,servletupdateteaching,0.5588652368998893
smos17,1,address,0.7885281924660773
smos17,2,servletshowjustifylist,0.7295735213363715
