canonical_id,file,tokens_before,tokens_after
bean_access,Bean/Access.java,180,6
bean_administrator,Bean/Administrator.java,269,9
bean_citizen,Bean/Citizen.java,371,27
bean_employee,Bean/Employee.java,272,9
bean_familyunit,Bean/FamilyUnit.java,259,25
bean_identitycard,Bean/IdentityCard.java,674,59
bean_municipality,Bean/Municipality.java,175,10
bean_request,Bean/Request.java,564,21
db_dbaccess,DB/DbAccess.java,813,27
db_dbadministrator,DB/DbAdministrator.java,929,27
db_dbcitizen,DB/DbCitizen.java,1966,37
db_dbconnection,DB/DbConnection.java,211,27
db_dbemployee,DB/DbEmployee.java,929,23
db_dbexception,DB/DbException.java,37,1
db_dbfamilyunit,DB/DbFamilyUnit.java,1056,31
db_dbidentitycard,DB/DbIdentityCard.java,1498,38
db_dbmunicipality,DB/DbMunicipality.java,354,20
db_dbrequest,DB/DbRequest.java,1170,22
db_dbresidencechange,DB/DbResidenceChange.java,225,28
manager_accessmanager,Manager/AccessManager.java,347,22
manager_adminmanager,Manager/AdminManager.java,381,30
manager_citizenmanager,Manager/CitizenManager.java,598,36
manager_employeemanager,Manager/EmployeeManager.java,372,25
manager_familyunitmanager,Manager/FamilyUnitManager.java,358,33
manager_identitycardmanager,Manager/IdentityCardManager.java,110,22
servlet_cancelservlet,Servlet/CancelServlet.java,92,3
servlet_createcertificatespdfservlet,Servlet/CreateCertificatesPdfServlet.java,464,15
servlet_createcitizenpdfservlet,Servlet/CreateCitizenPdfServlet.java,1159,20
servlet_createresidencechangepdfservlet,Servlet/CreateResidenceChangePdfServlet.java,2142,37
servlet_deleteadministratorservlet,Servlet/DeleteAdministratorServlet.java,394,35
servlet_deletecitizenservlet,Servlet/DeleteCitizenServlet.java,581,47
servlet_deleteemployeeservlet,Servlet/DeleteEmployeeServlet.java,340,31
servlet_editaccessservlet,Servlet/EditAccessServlet.java,314,40
servlet_editadministratorservlet,Servlet/EditAdministratorServlet.java,391,30
servlet_editcitizenservlet,Servlet/EditCitizenServlet.java,947,44
servlet_editemployeeservlet,Servlet/EditEmployeeServlet.java,390,29
servlet_editresidenceservlet,Servlet/EditResidenceServlet.java,944,45
servlet_familystatusservlet,Servlet/FamilyStatusServlet.java,155,9
servlet_filescontroller,Servlet/FilesController.java,223,37
servlet_insertadministratorservlet,Servlet/InsertAdministratorServlet.java,280,22
servlet_insertcitizenservlet,Servlet/InsertCitizenServlet.java,517,39
servlet_insertemployeeservlet,Servlet/InsertEmployeeServlet.java,276,20
servlet_loadcaseservlet,Servlet/LoadCaseServlet.java,120,9
servlet_loginservlet,Servlet/LoginServlet.java,311,17
servlet_logoutservlet,Servlet/LogoutServlet.java,101,4
servlet_passwordrecoveryservlet,Servlet/PasswordRecoveryServlet.java,366,21
servlet_registercitizenservlet,Servlet/RegisterCitizenServlet.java,351,8
servlet_responseservlet,Servlet/ResponseServlet.java,1139,29
servlet_searchadministratorservlet,Servlet/SearchAdministratorServlet.java,186,6
servlet_searchcaseservlet,Servlet/SearchCaseServlet.java,179,8
servlet_searchcitizenservlet,Servlet/SearchCitizenServlet.java,277,6
servlet_searchemployeeservlet,Servlet/SearchEmployeeServlet.java,190,5
servlet_showaccessaservlet,Servlet/ShowAccessAServlet.java,179,6
servlet_showaccessservlet,Servlet/ShowAccessServlet.java,173,7
servlet_viewcasesservlet,Servlet/ViewCasesServlet.java,137,8
