canonical_id,file,tokens_before,tokens_after
ea1,EA1.txt,160,28
ea10,EA10.txt,63,17
ea100,EA100.txt,199,59
ea101,EA101.txt,174,55
ea102,EA102.txt,150,46
ea103,EA103.txt,177,51
ea104,EA104.txt,120,46
ea105,EA105.txt,172,52
ea106,EA106.txt,169,58
ea107,EA107.txt,180,61
ea108,EA108.txt,244,72
ea109,EA109.txt,157,49
ea11,EA11.txt,92,26
ea110,EA110.txt,192,67
ea111,EA111.txt,236,74
ea112,EA112.txt,161,51
ea113,EA113.txt,155,47
ea114,EA114.txt,192,66
ea115,EA115.txt,192,64
ea116,EA116.txt,207,67
ea117,EA117.txt,217,69
ea118,EA118.txt,163,42
ea119,EA119.txt,130,42
ea12,EA12.txt,94,26
ea120,EA120.txt,172,50
ea121,EA121.txt,165,53
ea122,EA122.txt,185,53
ea123,EA123.txt,165,51
ea124,EA124.txt,79,24
ea125,EA125.txt,225,59
ea126,EA126.txt,127,43
ea127,EA127.txt,119,35
ea128,EA128.txt,150,54
ea129,EA129.txt,98,31
ea13,EA13.txt,96,27
ea130,EA130.txt,86,24
ea131,EA131.txt,171,56
ea132,EA132.txt,97,31
ea133,EA133.txt,85,25
ea134,EA134.txt,167,50
ea135,EA135.txt,198,59
ea136,EA136.txt,79,24
ea137,EA137.txt,92,31
ea138,EA138.txt,66,27
ea139,EA139.txt,65,29
ea14,EA14.txt,99,26
ea15,EA15.txt,92,26
ea16,EA16.txt,118,26
ea17,EA17.txt,140,30
ea18,EA18.txt,122,27
ea19,EA19.txt,182,42
ea2,EA2.txt,155,29
ea20,EA20.txt,119,28
ea21,EA21.txt,121,27
ea22,EA22.txt,284,46
ea23,EA23.txt,284,46
ea24,EA24.txt,157,30
ea25,EA25.txt,348,79
ea26,EA26.txt,393,85
ea27,EA27.txt,95,31
ea28,EA28.txt,106,30
ea29,EA29.txt,103,29
ea3,EA3.txt,155,29
ea30,EA30.txt,144,59
ea31,EA31.txt,120,34
ea32,EA32.txt,106,30
ea33,EA33.txt,284,50
ea34,EA34.txt,153,43
ea35,EA35.txt,127,39
ea36,EA36.txt,91,25
ea37,EA37.txt,91,28
ea38,EA38.txt,96,29
ea39,EA39.txt,97,29
ea4,EA4.txt,97,24
ea40,EA40.txt,105,32
ea41,EA41.txt,111,22
ea42,EA42.txt,85,37
ea43,EA43.txt,86,39
ea44,EA44.txt,72,25
ea45,EA45.txt,186,63
ea46,EA46.txt,78,28
ea47,EA47.txt,192,61
ea48,EA48.txt,245,78
ea49,EA49.txt,249,81
ea5,EA5.txt,175,34
ea50,EA50.txt,188,55
ea51,EA51.txt,191,58
ea52,EA52.txt,89,36
ea53,EA53.txt,118,45
ea54,EA54.txt,113,34
ea55,EA55.txt,65,25
ea56,EA56.txt,136,48
ea57,EA57.txt,179,59
ea58,EA58.txt,240,75
ea59,EA59.txt,94,28
ea6,EA6.txt,259,50
ea60,EA60.txt,149,36
ea61,EA61.txt,78,19
ea62,EA62.txt,77,26
ea63,EA63.txt,111,36
ea64,EA64.txt,99,38
ea65,EA65.txt,149,38
ea66,EA66.txt,115,35
ea67,EA67.txt,79,26
ea68,EA68.txt,76,19
ea69,EA69.txt,139,43
ea7,EA7.txt,271,50
ea70,EA70.txt,78,19
ea71,EA71.txt,89,32
ea72,EA72.txt,111,30
ea73,EA73.txt,99,27
ea74,EA74.txt,101,28
ea75,EA75.txt,102,29
ea76,EA76.txt,92,23
ea77,EA77.txt,97,26
ea78,EA78.txt,111,29
ea79,EA79.txt,80,21
ea8,EA8.txt,63,17
ea80,EA80.txt,180,51
ea81,EA81.txt,156,45
ea82,EA82.txt,152,47
ea83,EA83.txt,60,21
ea84,EA84.txt,172,55
ea85,EA85.txt,117,30
ea86,EA86.txt,185,56
ea87,EA87.txt,102,28
ea88,EA88.txt,150,42
ea89,EA89.txt,152,42
ea9,EA9.txt,62,17
ea90,EA90.txt,182,53
ea91,EA91.txt,180,54
ea92,EA92.txt,76,22
ea93,EA93.txt,126,41
ea94,EA94.txt,117,37
ea95,EA95.txt,119,40
ea96,EA96.txt,211,63
ea97,EA97.txt,263,76
ea98,EA98.txt,178,54
ea99,EA99.txt,197,59
