requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
EA1.txt,11,7,1,4,7,1.0,4.571428571428571,0.6364,mixed
EA10.txt,10,4,1,1,4,1.0,7.0,0.4,mixed
EA11.txt,17,4,0,1,4,5.0,7.5,0.2353,mixed
EA12.txt,10,4,0,1,4,5.0,6.5,0.4,mixed
EA13.txt,11,3,1,3,3,1.0,2.0,0.2727,mixed
EA138.txt,55,10,1,5,10,1.0,5.5,0.1818,mixed
EA14.txt,11,5,1,3,5,1.0,5.4,0.4545,mixed
EA15.txt,11,3,0,2,3,3.0,4.666666666666667,0.2727,mixed
EA16.txt,12,6,0,3,6,2.0,5.333333333333333,0.5,mixed
EA17.txt,12,6,1,3,6,1.0,4.833333333333333,0.5,mixed
EA18.txt,11,5,1,3,5,1.0,4.8,0.4545,mixed
EA19.txt,14,8,1,5,8,1.0,5.25,0.5714,mixed
EA2.txt,15,9,1,5,9,1.0,5.333333333333333,0.6,mixed
EA20.txt,9,6,1,4,6,1.0,4.666666666666667,0.6667,mixed
EA21.txt,17,3,0,2,3,3.0,5.666666666666667,0.1765,mixed
EA22.txt,16,5,1,4,5,1.0,3.6,0.3125,mixed
EA23.txt,6,0,0,0,0,,,0.0,hard
EA24.txt,27,1,0,0,1,10.0,10.0,0.037,mixed
EA25.txt,27,9,1,5,9,1.0,5.333333333333333,0.3333,mixed
EA26.txt,22,6,1,3,6,1.0,5.0,0.2727,mixed
EA27.txt,13,3,1,2,3,1.0,3.0,0.2308,mixed
EA28.txt,13,4,1,2,4,1.0,5.0,0.3077,mixed
EA29.txt,13,2,0,1,2,4.0,5.0,0.1538,mixed
EA3.txt,10,7,1,4,7,1.0,4.857142857142857,0.7,mixed
EA30.txt,15,5,1,4,5,1.0,3.6,0.3333,mixed
EA31.txt,16,6,1,4,6,1.0,4.333333333333333,0.375,mixed
EA32.txt,16,6,1,4,6,1.0,4.5,0.375,mixed
EA33.txt,3,0,0,0,0,,,0.0,hard
EA34.txt,3,0,0,0,0,,,0.0,hard
EA36.txt,13,4,1,3,4,1.0,4.5,0.3077,mixed
EA37.txt,15,5,1,4,5,1.0,4.0,0.3333,mixed
EA38.txt,15,6,1,4,6,1.0,5.333333333333333,0.4,mixed
EA4.txt,19,4,1,2,4,1.0,4.75,0.2105,mixed
EA41.txt,13,3,0,2,3,2.0,4.333333333333333,0.2308,mixed
EA5.txt,11,6,0,3,6,2.0,5.666666666666667,0.5455,mixed
EA6.txt,18,5,1,5,5,1.0,3.0,0.2778,mixed
EA7.txt,11,4,0,2,4,4.0,6.5,0.3636,mixed
EA8.txt,11,4,0,2,4,3.0,5.5,0.3636,mixed
EA9.txt,15,3,1,1,3,1.0,6.0,0.2,mixed
