canonical_id,file,tokens_before,tokens_after
uc1,UC1.txt,108,41
uc10,UC10.txt,85,28
uc11,UC11.txt,84,28
uc12,UC12.txt,77,28
uc13,UC13.txt,83,31
uc14,UC14.txt,79,29
uc15,UC15.txt,128,44
uc16,UC16.txt,85,31
uc17,UC17.txt,160,54
uc18,UC18.txt,106,39
uc19,UC19.txt,116,42
uc2,UC2.txt,126,45
uc20,UC20.txt,182,57
uc21,UC21.txt,111,40
uc22,UC22.txt,96,32
uc23,UC23.txt,137,45
uc24,UC24.txt,76,24
uc25,UC25.txt,98,33
uc26,UC26.txt,152,46
uc27,UC27.txt,77,29
uc28,UC28.txt,92,32
uc29,UC29.txt,72,22
uc3,UC3.txt,162,53
uc30,UC30.txt,111,41
uc31,UC31.txt,87,31
uc32,UC32.txt,68,24
uc33,UC33.txt,108,40
uc34,UC34.txt,81,30
uc35,UC35.txt,95,31
uc36,UC36.txt,71,21
uc37,UC37.txt,65,25
uc38,UC38.txt,171,49
uc39,UC39.txt,160,50
uc4,UC4.txt,86,32
uc40,UC40.txt,114,37
uc41,UC41.txt,149,48
uc42,UC42.txt,108,37
uc43,UC43.txt,130,43
uc44,UC44.txt,138,42
uc45,UC45.txt,74,25
uc46,UC46.txt,96,34
uc47,UC47.txt,115,42
uc48,UC48.txt,95,37
uc49,UC49.txt,65,22
uc5,UC5.txt,81,27
uc50,UC50.txt,80,22
uc51,UC51.txt,81,26
uc52,UC52.txt,88,29
uc53,UC53.txt,165,51
uc54,UC54.txt,104,37
uc55,UC55.txt,70,23
uc56,UC56.txt,90,20
uc57,UC57.txt,108,37
uc58,UC58.txt,89,34
uc6,UC6.txt,93,37
uc7,UC7.txt,104,35
uc8,UC8.txt,171,56
uc9,UC9.txt,86,31
