top_prediction,times_as_false_positive_top1
itouristagencymanager,24
globalconstants,23
isearch,21
touristcard,20
iadvertisementmanager,17
idbvisitbc,15
itagagencyoperatormanager,11
refreshmentpointagencymanager,11
cardbc,9
irefreshmentpointcommonmanager,9
idbmenu,8
itouristclientmanager,8
search,7
iauthentication,6
newstablemodeltest,6
iculturalheritageagencymanager,4
culturalheritage,3
refreshmentpoint,3
idbgenericpreference,2
dblocationstatistic,2
news,2
errormessage,1
dbconvention,1
authentication,1
