requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
UC1.txt,4,0,0,0,0,,,0.0,hard
UC10.txt,7,1,0,0,1,8.0,8.0,0.1429,mixed
UC11.txt,2,0,0,0,0,,,0.0,hard
UC12.txt,4,1,0,1,1,4.0,4.0,0.25,mixed
UC13.txt,5,1,0,0,1,10.0,10.0,0.2,mixed
UC14.txt,5,0,0,0,0,,,0.0,hard
UC15.txt,6,0,0,0,0,,,0.0,hard
UC16.txt,4,2,0,1,2,4.0,6.0,0.5,mixed
UC17.txt,12,0,0,0,0,,,0.0,hard
UC18.txt,5,0,0,0,0,,,0.0,hard
UC19.txt,9,0,0,0,0,,,0.0,hard
UC2.txt,6,0,0,0,0,,,0.0,hard
UC20.txt,12,0,0,0,0,,,0.0,hard
UC21.txt,7,1,0,0,1,6.0,6.0,0.1429,mixed
UC22.txt,5,1,0,0,1,10.0,10.0,0.2,mixed
UC23.txt,7,0,0,0,0,,,0.0,hard
UC24.txt,10,1,1,1,1,1.0,1.0,0.1,mixed
UC25.txt,3,0,0,0,0,,,0.0,hard
UC26.txt,2,1,1,1,1,1.0,1.0,0.5,mixed
UC27.txt,1,1,1,1,1,1.0,1.0,1.0,easy
UC28.txt,5,0,0,0,0,,,0.0,hard
UC29.txt,1,0,0,0,0,,,0.0,hard
UC3.txt,6,0,0,0,0,,,0.0,hard
UC30.txt,4,1,0,0,1,10.0,10.0,0.25,mixed
UC31.txt,3,0,0,0,0,,,0.0,hard
UC32.txt,2,0,0,0,0,,,0.0,hard
UC33.txt,6,0,0,0,0,,,0.0,hard
UC34.txt,5,1,1,1,1,1.0,1.0,0.2,mixed
UC35.txt,4,1,0,0,1,7.0,7.0,0.25,mixed
UC36.txt,2,1,1,1,1,1.0,1.0,0.5,mixed
UC38.txt,10,2,0,1,2,4.0,6.0,0.2,mixed
UC39.txt,10,1,0,1,1,5.0,5.0,0.1,mixed
UC4.txt,9,2,1,2,2,1.0,2.0,0.2222,mixed
UC40.txt,7,0,0,0,0,,,0.0,hard
UC41.txt,6,0,0,0,0,,,0.0,hard
UC42.txt,6,0,0,0,0,,,0.0,hard
UC43.txt,7,0,0,0,0,,,0.0,hard
UC44.txt,3,0,0,0,0,,,0.0,hard
UC45.txt,4,1,0,1,1,3.0,3.0,0.25,mixed
UC46.txt,6,0,0,0,0,,,0.0,hard
UC47.txt,7,0,0,0,0,,,0.0,hard
UC48.txt,5,0,0,0,0,,,0.0,hard
UC49.txt,6,0,0,0,0,,,0.0,hard
UC5.txt,4,0,0,0,0,,,0.0,hard
UC50.txt,7,0,0,0,0,,,0.0,hard
UC51.txt,5,0,0,0,0,,,0.0,hard
UC52.txt,6,0,0,0,0,,,0.0,hard
UC53.txt,6,0,0,0,0,,,0.0,hard
UC54.txt,8,0,0,0,0,,,0.0,hard
UC55.txt,3,0,0,0,0,,,0.0,hard
UC56.txt,4,0,0,0,0,,,0.0,hard
UC57.txt,1,1,1,1,1,1.0,1.0,1.0,easy
UC58.txt,4,1,0,1,1,4.0,4.0,0.25,mixed
UC6.txt,3,2,0,2,2,4.0,4.5,0.6667,mixed
UC7.txt,4,2,1,1,2,1.0,4.5,0.5,mixed
UC8.txt,5,2,0,0,2,7.0,8.0,0.4,mixed
UC9.txt,8,5,1,4,5,1.0,4.6,0.625,mixed
