top_prediction,times_as_false_positive_top1
irefreshmentpointcommonmanager,30
advertisementmanager,25
itouristagencymanager,15
idbvisitpr,15
news,14
iauthentication,8
touristcard,8
refreshmentpointagencymanager,7
idbtourist,7
itagagencyoperatormanager,7
iculturalheritageagencymanager,6
idbgenericpreference,6
authentication,5
dbnews,4
search,4
culturalheritageagencymanager,4
dblocationstatistic,3
beantourist,3
isearch,3
itouristclientmanager,3
advertisementagencymanager,2
iculturalheritagecommonmanager,2
idbrefreshmentpoint,1
