top_prediction,times_as_false_positive_top1
iadvertisementmanager,32
itouristagencymanager,21
idbvisitbc,18
touristcard,17
cardbc,14
dbculturalheritage,14
refreshmentpointagencymanager,11
itagagencyoperatormanager,9
globalconstants,9
irefreshmentpointcommonmanager,9
idbmenu,8
advancedsearch,8
iculturalheritagecommonmanager,8
beantag,7
newstablemodeltest,6
isearch,4
itouristclientmanager,4
dbtourist,3
search,3
dblocationstatistic,2
news,2
idbgenericpreference,2
authentication,1
iculturalheritageagencymanager,1
iadvertisementrefreshmentpointmanager,1
