requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
UC1.txt,4,3,0,2,3,3.0,4.666666666666667,0.75,mixed
UC10.txt,7,1,0,1,1,5.0,5.0,0.1429,mixed
UC11.txt,2,1,0,1,1,4.0,4.0,0.5,mixed
UC12.txt,4,1,0,1,1,3.0,3.0,0.25,mixed
UC13.txt,5,2,1,1,2,1.0,4.5,0.4,mixed
UC14.txt,5,0,0,0,0,,,0.0,hard
UC15.txt,6,0,0,0,0,,,0.0,hard
UC16.txt,4,2,1,1,2,1.0,4.5,0.5,mixed
UC17.txt,12,4,1,3,4,1.0,4.0,0.3333,mixed
UC18.txt,5,0,0,0,0,,,0.0,hard
UC19.txt,9,4,1,1,4,1.0,5.5,0.4444,mixed
UC2.txt,6,2,0,1,2,3.0,6.0,0.3333,mixed
UC20.txt,12,3,1,3,3,1.0,2.0,0.25,mixed
UC21.txt,7,1,0,1,1,4.0,4.0,0.1429,mixed
UC22.txt,5,1,0,0,1,10.0,10.0,0.2,mixed
UC23.txt,7,2,0,0,2,6.0,6.5,0.2857,mixed
UC24.txt,10,2,1,1,2,1.0,5.5,0.2,mixed
UC25.txt,3,1,0,1,1,4.0,4.0,0.3333,mixed
UC26.txt,2,0,0,0,0,,,0.0,hard
UC27.txt,1,1,0,0,1,8.0,8.0,1.0,mixed
UC28.txt,5,2,1,2,2,1.0,2.5,0.4,mixed
UC29.txt,1,0,0,0,0,,,0.0,hard
UC3.txt,6,3,1,2,3,1.0,3.6666666666666665,0.5,mixed
UC30.txt,4,1,0,1,1,2.0,2.0,0.25,mixed
UC31.txt,3,2,0,1,2,4.0,5.0,0.6667,mixed
UC32.txt,2,0,0,0,0,,,0.0,hard
UC33.txt,6,1,1,1,1,1.0,1.0,0.1667,mixed
UC34.txt,5,1,1,1,1,1.0,1.0,0.2,mixed
UC35.txt,4,1,0,1,1,3.0,3.0,0.25,mixed
UC36.txt,2,1,0,1,1,5.0,5.0,0.5,mixed
UC38.txt,10,4,1,2,4,1.0,5.0,0.4,mixed
UC39.txt,10,2,1,2,2,1.0,2.0,0.2,mixed
UC4.txt,9,4,1,4,4,1.0,2.5,0.4444,mixed
UC40.txt,7,2,1,2,2,1.0,3.0,0.2857,mixed
UC41.txt,6,2,1,2,2,1.0,2.0,0.3333,mixed
UC42.txt,6,2,1,2,2,1.0,1.5,0.3333,mixed
UC43.txt,7,3,1,2,3,1.0,4.666666666666667,0.4286,mixed
UC44.txt,3,1,0,1,1,2.0,2.0,0.3333,mixed
UC45.txt,4,1,0,0,1,6.0,6.0,0.25,mixed
UC46.txt,6,2,0,2,2,2.0,2.5,0.3333,mixed
UC47.txt,7,2,0,1,2,2.0,5.5,0.2857,mixed
UC48.txt,5,3,1,3,3,1.0,2.3333333333333335,0.6,mixed
UC49.txt,6,0,0,0,0,,,0.0,hard
UC5.txt,4,1,0,1,1,3.0,3.0,0.25,mixed
UC50.txt,7,3,1,2,3,1.0,5.333333333333333,0.4286,mixed
UC51.txt,5,1,1,1,1,1.0,1.0,0.2,mixed
UC52.txt,6,3,1,2,3,1.0,4.666666666666667,0.5,mixed
UC53.txt,6,1,1,1,1,1.0,1.0,0.1667,mixed
UC54.txt,8,2,1,2,2,1.0,1.5,0.25,mixed
UC55.txt,3,0,0,0,0,,,0.0,hard
UC56.txt,4,1,0,1,1,2.0,2.0,0.25,mixed
UC57.txt,1,1,0,0,1,8.0,8.0,1.0,mixed
UC58.txt,4,1,0,0,1,8.0,8.0,0.25,mixed
UC6.txt,3,1,0,1,1,5.0,5.0,0.3333,mixed
UC7.txt,4,4,1,3,4,1.0,3.5,1.0,easy
UC8.txt,5,1,1,1,1,1.0,1.0,0.2,mixed
UC9.txt,8,3,0,2,3,3.0,5.666666666666667,0.375,mixed
