canonical_id,file,tokens_before,tokens_after
beanbuilder,BeanBuilder.java,341,50
dbutil,DBUtil.java,204,51
dateutil,DateUtil.java,561,46
emailutil,EmailUtil.java,128,31
htmlencoder,HtmlEncoder.java,88,20
localization,Localization.java,95,33
messages,Messages.java,55,8
parameterutil,ParameterUtil.java,105,17
randompassword,RandomPassword.java,57,8
webroot_util_blackbox_blackboxtestplan,WebRoot/util/blackbox/BlackBoxTestPlan.xml,29364,61
action_addapptaction,action/AddApptAction.java,243,16
action_adderespaction,action/AddERespAction.java,254,19
action_addhcpaction,action/AddHCPAction.java,254,27
action_addofficevisitaction,action/AddOfficeVisitAction.java,289,36
action_addphaaction,action/AddPHAAction.java,250,37
action_addpatientaction,action/AddPatientAction.java,236,24
action_addremotemonitoringdataaction,action/AddRemoteMonitoringDataAction.java,465,33
action_adduapaction,action/AddUAPAction.java,249,19
action_changesessiontimeoutaction,action/ChangeSessionTimeoutAction.java,198,12
action_chronicdiseaseriskaction,action/ChronicDiseaseRiskAction.java,318,12
action_declarehcpaction,action/DeclareHCPAction.java,348,14
action_druginteractionaction,action/DrugInteractionAction.java,335,31
action_editappttypeaction,action/EditApptTypeAction.java,326,12
action_edithealthhistoryaction,action/EditHealthHistoryAction.java,459,35
action_editmonitoringlistaction,action/EditMonitoringListAction.java,307,35
action_editofficevisitaction,action/EditOfficeVisitAction.java,1557,56
action_editphraction,action/EditPHRAction.java,1367,52
action_editpatientaction,action/EditPatientAction.java,411,36
action_editpersonnelaction,action/EditPersonnelAction.java,315,34
action_editprescriptionaction,action/EditPrescriptionAction.java,117,22
action_editrepresentativesaction,action/EditRepresentativesAction.java,395,39
action_emergencyreportaction,action/EmergencyReportAction.java,715,47
action_generatecalendaraction,action/GenerateCalendarAction.java,723,48
action_getusernameaction,action/GetUserNameAction.java,120,23
action_getvisitremindersaction,action/GetVisitRemindersAction.java,1730,59
action_labprochcpaction,action/LabProcHCPAction.java,376,36
action_labprocuapaction,action/LabProcUAPAction.java,394,45
action_loginfailureaction,action/LoginFailureAction.java,366,35
action_managehospitalassignmentsaction,action/ManageHospitalAssignmentsAction.java,579,40
action_monitoradverseeventaction,action/MonitorAdverseEventAction.java,520,45
action_mydiagnosisaction,action/MyDiagnosisAction.java,753,46
action_prescriptionreportaction,action/PrescriptionReportAction.java,762,43
action_referralmanagementaction,action/ReferralManagementAction.java,267,43
action_reportadverseeventaction,action/ReportAdverseEventAction.java,720,36
action_resetpasswordaction,action/ResetPasswordAction.java,920,56
action_searchusersaction,action/SearchUsersAction.java,261,32
action_sendmessageaction,action/SendMessageAction.java,611,34
action_setsecurityquestionaction,action/SetSecurityQuestionAction.java,259,35
action_surveyaction,action/SurveyAction.java,207,30
action_updatecptcodelistaction,action/UpdateCPTCodeListAction.java,397,46
action_updatehospitallistaction,action/UpdateHospitalListAction.java,312,34
action_updateicdcodelistaction,action/UpdateICDCodeListAction.java,351,40
action_updateloinclistaction,action/UpdateLOINCListAction.java,303,46
action_updatendcodelistaction,action/UpdateNDCodeListAction.java,352,41
action_viewadverseeventaction,action/ViewAdverseEventAction.java,91,13
action_viewexpiredprescriptionsaction,action/ViewExpiredPrescriptionsAction.java,446,36
action_viewmyaccesslogaction,action/ViewMyAccessLogAction.java,421,43
action_viewmyapptsaction,action/ViewMyApptsAction.java,168,23
action_viewmymessagesaction,action/ViewMyMessagesAction.java,981,42
action_viewmyrecordsaction,action/ViewMyRecordsAction.java,1505,59
action_viewmyremotemonitoringlistaction,action/ViewMyRemoteMonitoringListAction.java,318,36
action_viewmyreportrequestsaction,action/ViewMyReportRequestsAction.java,971,39
action_viewofficevisitaction,action/ViewOfficeVisitAction.java,420,39
action_viewpatientofficevisithistoryaction,action/ViewPatientOfficeVisitHistoryAction.java,465,37
action_viewpersonnelaction,action/ViewPersonnelAction.java,260,34
action_viewprescriptionrecordsaction,action/ViewPrescriptionRecordsAction.java,438,36
action_viewprescriptionrenewalneedsaction,action/ViewPrescriptionRenewalNeedsAction.java,226,43
action_viewreportaction,action/ViewReportAction.java,277,34
action_viewsurveyresultaction,action/ViewSurveyResultAction.java,257,41
action_viewvisitedhcpsaction,action/ViewVisitedHCPsAction.java,743,44
action_base_officevisitbaseaction,action/base/OfficeVisitBaseAction.java,453,41
action_base_patientbaseaction,action/base/PatientBaseAction.java,329,45
action_base_personnelbaseaction,action/base/PersonnelBaseAction.java,319,46
beans_adverseeventbean,beans/AdverseEventBean.java,248,49
beans_allergybean,beans/AllergyBean.java,177,47
beans_apptbean,beans/ApptBean.java,138,12
beans_appttypebean,beans/ApptTypeBean.java,60,10
beans_diagnosisbean,beans/DiagnosisBean.java,217,51
beans_druginteractionbean,beans/DrugInteractionBean.java,146,47
beans_email,beans/Email.java,287,51
beans_familymemberbean,beans/FamilyMemberBean.java,141,46
beans_hcpdiagnosisbean,beans/HCPDiagnosisBean.java,215,53
beans_hcplinkbean,beans/HCPLinkBean.java,161,51
beans_hcpvisitbean,beans/HCPVisitBean.java,183,47
beans_healthrecord,beans/HealthRecord.java,341,70
beans_hospitalbean,beans/HospitalBean.java,163,44
beans_loincbean,beans/LOINCbean.java,177,49
beans_labprocedurebean,beans/LabProcedureBean.java,476,58
beans_medicationbean,beans/MedicationBean.java,183,17
beans_messagebean,beans/MessageBean.java,309,50
beans_officevisitbean,beans/OfficeVisitBean.java,304,52
beans_operationalprofile,beans/OperationalProfile.java,227,46
beans_patientbean,beans/PatientBean.java,1095,78
beans_patientvisitbean,beans/PatientVisitBean.java,195,44
beans_personnelbean,beans/PersonnelBean.java,492,65
beans_prescriptionbean,beans/PrescriptionBean.java,314,53
beans_prescriptionreportbean,beans/PrescriptionReportBean.java,96,10
beans_procedurebean,beans/ProcedureBean.java,290,46
beans_referralbean,beans/ReferralBean.java,251,50
beans_remotemonitoringdatabean,beans/RemoteMonitoringDataBean.java,203,52
beans_reportrequestbean,beans/ReportRequestBean.java,443,26
beans_securityqa,beans/SecurityQA.java,115,42
beans_surveybean,beans/SurveyBean.java,232,50
beans_surveyresultbean,beans/SurveyResultBean.java,334,49
beans_transactionbean,beans/TransactionBean.java,196,49
beans_visitflag,beans/VisitFlag.java,157,42
beans_forms_editofficevisitform,beans/forms/EditOfficeVisitForm.java,399,49
beans_forms_healthrecordform,beans/forms/HealthRecordForm.java,194,39
beans_forms_visitreminderreturnform,beans/forms/VisitReminderReturnForm.java,243,42
beans_loaders_adverseeventbeanloader,beans/loaders/AdverseEventBeanLoader.java,161,31
beans_loaders_allergybeanloader,beans/loaders/AllergyBeanLoader.java,145,30
beans_loaders_apptbeanloader,beans/loaders/ApptBeanLoader.java,132,10
beans_loaders_appttypebeanloader,beans/loaders/ApptTypeBeanLoader.java,105,11
beans_loaders_beanloader,beans/loaders/BeanLoader.java,251,38
beans_loaders_diagnosisbeanloader,beans/loaders/DiagnosisBeanLoader.java,161,30
beans_loaders_druginteractionbeanloader,beans/loaders/DrugInteractionBeanLoader.java,146,33
beans_loaders_emailbeanloader,beans/loaders/EmailBeanLoader.java,172,28
beans_loaders_familybeanloader,beans/loaders/FamilyBeanLoader.java,153,31
beans_loaders_healthrecordsbeanloader,beans/loaders/HealthRecordsBeanLoader.java,230,28
beans_loaders_hospitalbeanloader,beans/loaders/HospitalBeanLoader.java,135,31
beans_loaders_loincbeanloader,beans/loaders/LOINCBeanLoader.java,160,31
beans_loaders_labprocedurebeanloader,beans/loaders/LabProcedureBeanLoader.java,170,31
beans_loaders_medicationbeanloader,beans/loaders/MedicationBeanLoader.java,139,31
beans_loaders_messagebeanloader,beans/loaders/MessageBeanLoader.java,190,27
beans_loaders_officevisitloader,beans/loaders/OfficeVisitLoader.java,170,31
beans_loaders_operationalprofileloader,beans/loaders/OperationalProfileLoader.java,180,31
beans_loaders_patientloader,beans/loaders/PatientLoader.java,619,31
beans_loaders_personnelloader,beans/loaders/PersonnelLoader.java,299,29
beans_loaders_prescriptionbeanloader,beans/loaders/PrescriptionBeanLoader.java,228,28
beans_loaders_prescriptionreportbeanloader,beans/loaders/PrescriptionReportBeanLoader.java,149,33
beans_loaders_procedurebeanloader,beans/loaders/ProcedureBeanLoader.java,167,27
beans_loaders_referralbeanloader,beans/loaders/ReferralBeanLoader.java,232,38
beans_loaders_remotemonitoringdatabeanloader,beans/loaders/RemoteMonitoringDataBeanLoader.java,160,31
beans_loaders_reportrequestbeanloader,beans/loaders/ReportRequestBeanLoader.java,155,31
beans_loaders_surveyloader,beans/loaders/SurveyLoader.java,140,30
beans_loaders_surveyresultbeanloader,beans/loaders/SurveyResultBeanLoader.java,200,30
beans_loaders_transactionbeanloader,beans/loaders/TransactionBeanLoader.java,164,30
beans_loaders_visitreminderreturnformloader,beans/loaders/VisitReminderReturnFormLoader.java,164,40
charts_adverseeventsdata,charts/AdverseEventsData.java,537,51
dao_daofactory,dao/DAOFactory.java,582,50
dao_iconnectiondriver,dao/IConnectionDriver.java,37,9
dao_productionconnectiondriver,dao/ProductionConnectionDriver.java,98,13
dao_mysql_accessdao,dao/mysql/AccessDAO.java,393,48
dao_mysql_adverseeventdao,dao/mysql/AdverseEventDAO.java,894,49
dao_mysql_allergydao,dao/mysql/AllergyDAO.java,362,39
dao_mysql_apptdao,dao/mysql/ApptDAO.java,216,14
dao_mysql_appttypedao,dao/mysql/ApptTypeDAO.java,214,13
dao_mysql_authdao,dao/mysql/AuthDAO.java,1637,54
dao_mysql_cptcodesdao,dao/mysql/CPTCodesDAO.java,666,53
dao_mysql_druginteractiondao,dao/mysql/DrugInteractionDAO.java,560,50
dao_mysql_fakeemaildao,dao/mysql/FakeEmailDAO.java,508,43
dao_mysql_familydao,dao/mysql/FamilyDAO.java,495,42
dao_mysql_healthrecordsdao,dao/mysql/HealthRecordsDAO.java,375,39
dao_mysql_hospitalsdao,dao/mysql/HospitalsDAO.java,805,49
dao_mysql_icdcodesdao,dao/mysql/ICDCodesDAO.java,578,49
dao_mysql_loincdao,dao/mysql/LOINCDAO.java,556,45
dao_mysql_labproceduredao,dao/mysql/LabProcedureDAO.java,1285,55
dao_mysql_messagedao,dao/mysql/MessageDAO.java,1190,41
dao_mysql_ndcodesdao,dao/mysql/NDCodesDAO.java,566,49
dao_mysql_officevisitdao,dao/mysql/OfficeVisitDAO.java,2671,70
dao_mysql_patientdao,dao/mysql/PatientDAO.java,2765,72
dao_mysql_personneldao,dao/mysql/PersonnelDAO.java,1136,48
dao_mysql_referraldao,dao/mysql/ReferralDAO.java,497,48
dao_mysql_remotemonitoringdao,dao/mysql/RemoteMonitoringDAO.java,1346,57
dao_mysql_reportrequestdao,dao/mysql/ReportRequestDAO.java,984,41
dao_mysql_riskdao,dao/mysql/RiskDAO.java,787,55
dao_mysql_surveydao,dao/mysql/SurveyDAO.java,545,48
dao_mysql_surveyresultdao,dao/mysql/SurveyResultDAO.java,746,50
dao_mysql_transactiondao,dao/mysql/TransactionDAO.java,1203,48
dao_mysql_visitremindersdao,dao/mysql/VisitRemindersDAO.java,895,48
enums_bloodtype,enums/BloodType.java,75,10
enums_ethnicity,enums/Ethnicity.java,71,13
enums_gender,enums/Gender.java,73,20
enums_prescriptionalerts,enums/PrescriptionAlerts.java,91,10
enums_role,enums/Role.java,104,28
enums_state,enums/State.java,192,13
enums_transactiontype,enums/TransactionType.java,327,22
exception_dbexception,exception/DBException.java,138,15
exception_errorlist,exception/ErrorList.java,120,14
exception_formvalidationexception,exception/FormValidationException.java,270,38
exception_nohealthrecordsexception,exception/NoHealthRecordsException.java,91,33
exception_itrustexception,exception/iTrustException.java,117,32
risk_chronicdiseasemediator,risk/ChronicDiseaseMediator.java,161,32
risk_heartdiseaserisks,risk/HeartDiseaseRisks.java,273,12
risk_riskchecker,risk/RiskChecker.java,324,44
risk_type1diabetesrisks,risk/Type1DiabetesRisks.java,164,13
risk_type2diabetesrisks,risk/Type2DiabetesRisks.java,248,13
risk_factors_agefactor,risk/factors/AgeFactor.java,79,9
risk_factors_childhoodinfectionfactor,risk/factors/ChildhoodInfectionFactor.java,126,10
risk_factors_cholesterolfactor,risk/factors/CholesterolFactor.java,90,9
risk_factors_ethnicityfactor,risk/factors/EthnicityFactor.java,100,9
risk_factors_familyhistoryfactor,risk/factors/FamilyHistoryFactor.java,121,10
risk_factors_genderfactor,risk/factors/GenderFactor.java,91,9
risk_factors_hypertensionfactor,risk/factors/HypertensionFactor.java,81,9
risk_factors_patientriskfactor,risk/factors/PatientRiskFactor.java,96,17
risk_factors_priordiagnosisfactor,risk/factors/PriorDiagnosisFactor.java,109,10
risk_factors_smokingfactor,risk/factors/SmokingFactor.java,100,9
risk_factors_weightfactor,risk/factors/WeightFactor.java,86,9
server_sessiontimeoutlistener,server/SessionTimeoutListener.java,188,39
tags_icd9cmlink,tags/ICD9CMLink.java,154,23
tags_patientnavigation,tags/PatientNavigation.java,249,28
tags_stateselect,tags/StateSelect.java,197,17
validate_addpatientvalidator,validate/AddPatientValidator.java,147,28
validate_addpersonnelvalidator,validate/AddPersonnelValidator.java,147,28
validate_adverseeventvalidator,validate/AdverseEventValidator.java,112,31
validate_allergybeanvalidator,validate/AllergyBeanValidator.java,125,27
validate_apptbeanvalidator,validate/ApptBeanValidator.java,66,12
validate_appttypebeanvalidator,validate/ApptTypeBeanValidator.java,74,13
validate_beanvalidator,validate/BeanValidator.java,504,32
validate_diagnosisbeanvalidator,validate/DiagnosisBeanValidator.java,120,27
validate_druginteractionvalidator,validate/DrugInteractionValidator.java,130,31
validate_emailvalidator,validate/EMailValidator.java,103,27
validate_editofficevisitvalidator,validate/EditOfficeVisitValidator.java,298,32
validate_healthrecordformvalidator,validate/HealthRecordFormValidator.java,178,27
validate_hospitalbeanvalidator,validate/HospitalBeanValidator.java,132,27
validate_loincbeanvalidator,validate/LOINCBeanValidator.java,188,28
validate_labprocedurevalidator,validate/LabProcedureValidator.java,165,29
validate_mailvalidator,validate/MailValidator.java,81,26
validate_medicationbeanvalidator,validate/MedicationBeanValidator.java,130,27
validate_messagevalidator,validate/MessageValidator.java,90,12
validate_patientvalidator,validate/PatientValidator.java,540,36
validate_personnelvalidator,validate/PersonnelValidator.java,198,27
validate_procedurebeanvalidator,validate/ProcedureBeanValidator.java,130,27
