canonical_id,file,tokens_before,tokens_after
uc10e1,UC10E1.txt,16,10
uc10e2,UC10E2.txt,23,10
uc10s1,UC10S1.txt,94,51
uc10s2,UC10S2.txt,50,28
uc11e1,UC11E1.txt,14,8
uc11e2,UC11E2.txt,23,10
uc11s1,UC11S1.txt,140,55
uc11s2,UC11S2.txt,51,22
uc12,UC12.txt,60,24
uc13,UC13.txt,20,10
uc13e1,UC13E1.txt,16,10
uc15e1,UC15E1.txt,13,7
uc15s1,UC15S1.txt,73,36
uc15s2,UC15S2.txt,96,43
uc15s3,UC15S3.txt,49,21
uc15s4,UC15S4.txt,56,29
uc16,UC16.txt,97,32
uc16e1,UC16E1.txt,35,13
uc17s1,UC17S1.txt,51,17
uc17s2,UC17S2.txt,52,18
uc17s3,UC17S3.txt,36,12
uc18e1,UC18E1.txt,13,6
uc18e2,UC18E2.txt,13,6
uc18s1,UC18S1.txt,21,6
uc18s2,UC18S2.txt,49,14
uc19e1,UC19E1.txt,14,8
uc19e2,UC19E2.txt,21,8
uc19s1,UC19S1.txt,56,19
uc19s2,UC19S2.txt,35,16
uc19s3,UC19S3.txt,33,12
uc1e1,UC1E1.txt,32,12
uc1e2,UC1E2.txt,30,10
uc1s1,UC1S1.txt,109,37
uc1s2,UC1S2.txt,19,12
uc21e1,UC21E1.txt,14,8
uc21e2,UC21E2.txt,23,8
uc21s1,UC21S1.txt,11,5
uc22e1,UC22E1.txt,11,6
uc22e2,UC22E2.txt,19,7
uc22s1,UC22S1.txt,81,19
uc22s2,UC22S2.txt,121,42
uc22s3,UC22S3.txt,181,46
uc23e1,UC23E1.txt,12,6
uc23e2,UC23E2.txt,19,7
uc23s1,UC23S1.txt,14,9
uc23s3,UC23S3.txt,99,36
uc23s4,UC23S4.txt,22,9
uc24,UC24.txt,74,28
uc25,UC25.txt,120,51
uc25e1,UC25E1.txt,18,10
uc26e1,UC26E1.txt,18,7
uc26e2,UC26E2.txt,17,7
uc26s1,UC26S1.txt,74,25
uc26s2,UC26S2.txt,32,15
uc26s3,UC26S3.txt,68,24
uc26s4,UC26S4.txt,48,18
uc27s1,UC27S1.txt,29,10
uc27s2,UC27S2.txt,24,10
uc28,UC28.txt,49,16
uc29,UC29.txt,193,49
uc2e2,UC2E2.txt,30,10
uc2s1,UC2S1.txt,191,61
uc2s2,UC2S2.txt,20,13
uc30e1,UC30E1.txt,14,8
uc30e2,UC30E2.txt,21,8
uc30s1,UC30S1.txt,155,40
uc30s2,UC30S2.txt,138,32
uc30s3,UC30S3.txt,143,32
uc30s4,UC30S4.txt,138,32
uc30s5,UC30S5.txt,173,34
uc30s6,UC30S6.txt,151,38
uc30s7,UC30S7.txt,305,77
uc31s1,UC31S1.txt,71,20
uc31s2,UC31S2.txt,75,28
uc32e1,UC32E1.txt,14,5
uc32s1,UC32S1.txt,51,20
uc32s2,UC32S2.txt,114,38
uc33e1,UC33E1.txt,23,9
uc33e2,UC33E2.txt,22,10
uc33s1,UC33S1.txt,142,44
uc33s2,UC33S2.txt,76,24
uc33s3,UC33S3.txt,61,23
uc34e1,UC34E1.txt,21,8
uc34e2,UC34E2.txt,35,15
uc34e3,UC34E3.txt,26,13
uc34e4,UC34E4.txt,26,16
uc34s1,UC34S1.txt,118,30
uc34s2,UC34S2.txt,54,23
uc34s3,UC34S3.txt,98,35
uc34s4,UC34S4.txt,78,30
uc34s5,UC34S5.txt,115,34
uc34s6,UC34S6.txt,139,34
uc35s1,UC35S1.txt,85,28
uc35s2,UC35S2.txt,77,25
uc36s1,UC36S1.txt,101,37
uc36s2,UC36S2.txt,101,37
uc36s3,UC36S3.txt,40,15
uc37s1,UC37S1.txt,21,8
uc37s2,UC37S2.txt,25,11
uc37s3,UC37S3.txt,49,18
uc38s1,UC38S1.txt,43,17
uc38s2,UC38S2.txt,35,12
uc3e1,UC3E1.txt,33,19
uc3e2,UC3E2.txt,24,13
uc3s1,UC3S1.txt,18,6
uc3s2,UC3S2.txt,18,11
uc3s3,UC3S3.txt,39,16
uc3s4,UC3S4.txt,47,24
uc3s5,UC3S5.txt,15,7
uc40s1,UC40S1.txt,51,14
uc40s2,UC40S2.txt,208,35
uc40s3,UC40S3.txt,55,18
uc40s4,UC40S4.txt,78,22
uc40s5,UC40S5.txt,97,38
uc40s6,UC40S6.txt,70,24
uc40s7,UC40S7.txt,61,24
uc4e1,UC4E1.txt,36,12
uc4e2,UC4E2.txt,18,9
uc4s1,UC4S1.txt,64,25
uc4s2,UC4S2.txt,29,15
uc4s3,UC4S3.txt,14,9
uc4s4,UC4S4.txt,17,8
uc5s1,UC5S1.txt,15,8
uc5s2,UC5S2.txt,43,21
uc6s1,UC6S1.txt,39,15
uc6s2,UC6S2.txt,17,7
uc6s3,UC6S3.txt,48,19
uc8s1,UC8S1.txt,16,9
uc8s2,UC8S2.txt,52,24
uc9s1,UC9S1.txt,109,34
uc9s2,UC9S2.txt,124,46
