top_prediction,times_as_false_positive_top1
remotemonitoringdatabean,25
reportadverseeventaction,20
officevisitdao,20
referralbean,15
surveyresultbean,14
editphraction,14
messagebean,12
generatecalendaraction,12
patientbean,11
resetpasswordaction,9
apptbean,8
healthrecord,8
getusernameaction,8
daofactory,7
viewmyrecordsaction,7
blackboxtestplan,7
sendmessageaction,6
editpatientaction,6
druginteractionaction,6
labprochcpaction,6
visitreminderreturnform,6
mydiagnosisaction,5
officevisitbean,5
labprocedurebean,5
monitoradverseeventaction,5
updatecptcodelistaction,5
viewpatientofficevisithistoryaction,5
adverseeventsdata,4
nohealthrecordsexception,4
reportrequestbean,3
hospitalbean,3
personnelbean,3
emergencyreportaction,3
apptdao,3
surveybean,2
updateloinclistaction,2
visitremindersdao,2
labprocuapaction,2
hcplinkbean,2
referralmanagementaction,1
randompassword,1
sessiontimeoutlistener,1
patientloader,1
loginfailureaction,1
transactiontype,1
healthrecordform,1
viewmyapptsaction,1
viewmyreportrequestsaction,1
emailutil,1
diagnosisbean,1
addremotemonitoringdataaction,1
