top_prediction,times_as_false_positive_top1
patientriskfactor,113
adverseeventsdata,46
reportadverseeventaction,37
surveysearchvalidator,32
emergencyreportaction,15
viewmyrecordsaction,14
searchusersaction,13
remotemonitoringdatabean,11
monitoradverseeventaction,8
remotemonitoringdatabeanvalidator,7
htmlencoder,7
viewreportaction,7
addpatientvalidator,7
edithealthhistoryaction,5
mydiagnosisaction,5
patientvalidator,5
viewprescriptionrenewalneedsaction,4
transactiondao,4
transactionbean,4
visitreminderreturnformloader,4
patientnavigation,4
medicationbeanvalidator,4
heartdiseaserisks,4
addapptaction,3
emailbeanloader,3
druginteractionbeanloader,3
beanvalidator,3
riskchecker,2
stateselect,2
updatehospitallistaction,2
accessdao,2
blackboxtestplan,1
