top_prediction,times_as_false_positive_top1
blackboxtestplan,108
reportadverseeventaction,29
mydiagnosisaction,19
declarehcpaction,12
viewpatientofficevisithistoryaction,9
editofficevisitform,9
healthrecord,9
hcpdiagnosisbean,8
remotemonitoringdatabean,8
resetpasswordaction,8
viewreportaction,7
personneldao,6
editrepresentativesaction,6
apptbean,6
updateloinclistaction,5
viewprescriptionrenewalneedsaction,5
prescriptionreportbean,5
addphaaction,5
monitoradverseeventaction,5
referralmanagementaction,4
reportrequestbean,4
healthrecordformvalidator,3
viewofficevisitaction,3
hcpvisitbean,3
surveyresultbean,3
hospitalbean,3
viewvisitedhcpsaction,3
medicationbean,2
surveybean,2
viewexpiredprescriptionsaction,2
addremotemonitoringdataaction,2
changesessiontimeoutaction,2
setsecurityquestionaction,1
patientbean,1
surveysearchvalidator,1
updatecptcodelistaction,1
updateicdcodelistaction,1
gender,1
updatendcodelistaction,1
editpatientaction,1
druginteractiondao,1
