top_prediction,times_as_false_positive_top1
remotemonitoringdatabean,25
messagebean,18
securityqa,16
apptbean,15
editphraction,14
resetpasswordaction,13
officevisitbean,13
getusernameaction,11
patientriskfactor,11
prescriptionreportbean,11
personnelbean,9
reportadverseeventaction,9
generatecalendaraction,8
healthrecord,7
labprocedurebean,7
labprocedurebeanloader,7
editpatientaction,7
viewpatientofficevisithistoryaction,7
viewmyrecordsaction,6
labprochcpaction,6
referralbean,6
sendmessageaction,5
updatecptcodelistaction,5
viewmyapptsaction,5
updatehospitallistaction,5
nohealthrecordsexception,4
officevisitdao,4
ethnicity,4
hcpdiagnosisbean,4
addapptaction,3
labprocuapaction,3
mydiagnosisaction,3
surveyresultbean,3
hospitalbean,3
emergencyreportaction,3
viewreportaction,3
visitremindersdao,3
updateloinclistaction,2
type1diabetesrisks,2
patientloader,2
surveybean,2
hcplinkbean,2
druginteractionbeanloader,2
druginteractionaction,2
transactiontype,1
sessiontimeoutlistener,1
randompassword,1
addremotemonitoringdataaction,1
loginfailureaction,1
viewmyreportrequestsaction,1
chronicdiseaseriskaction,1
weightfactor,1
