requirement_id,rank,code_file,score
uc10e1,1,patientriskfactor,0.9786714911460876
uc10e1,2,heartdiseaserisks,0.9729733467102051
uc10e1,3,gender,0.9721548557281494
uc10e1,4,surveysearchvalidator,0.9715366363525391
uc10e1,5,medicationbeanvalidator,0.9711052775382996
uc10e1,6,type1diabetesrisks,0.9707656502723694
uc10e1,7,type2diabetesrisks,0.9707656502723694
uc10e1,8,diagnosisbeanvalidator,0.9703823924064636
uc10e1,9,beanvalidator,0.970265805721283
uc10e1,10,riskchecker,0.9702050685882568
uc10e2,1,patientriskfactor,0.9744639992713928
uc10e2,2,surveysearchvalidator,0.9717766046524048
uc10e2,3,beanvalidator,0.9710129499435425
uc10e2,4,riskchecker,0.9706944823265076
uc10e2,5,remotemonitoringdatabeanvalidator,0.9691953659057617
uc10e2,6,procedurebeanloader,0.9689266085624695
uc10e2,7,mailvalidator,0.9688732028007507
uc10e2,8,medicationbeanvalidator,0.9687363505363464
uc10e2,9,emailbeanloader,0.9686546325683594
uc10e2,10,druginteractionvalidator,0.9686431884765625
uc10s1,1,viewmyrecordsaction,0.990425705909729
uc10s1,2,emergencyreportaction,0.9901240468025208
uc10s1,3,editphraction,0.9885276556015015
uc10s1,4,adverseeventsdata,0.9881858229637146
uc10s1,5,patientbean,0.987897515296936
uc10s1,6,personnelbean,0.9872508645057678
uc10s1,7,monitoradverseeventaction,0.9871045351028442
uc10s1,8,editofficevisitaction,0.9869356751441956
uc10s1,9,visitreminderreturnformloader,0.9867064952850342
uc10s1,10,riskdao,0.986702024936676
uc10s2,1,updatehospitallistaction,0.9791973829269409
uc10s2,2,searchusersaction,0.978664219379425
uc10s2,3,reportadverseeventaction,0.9783570766448975
uc10s2,4,reportrequestbean,0.9780148267745972
uc10s2,5,visitreminderreturnformloader,0.9778220653533936
uc10s2,6,adduapaction,0.9776137471199036
uc10s2,7,riskdao,0.9775860905647278
uc10s2,8,getusernameaction,0.9775805473327637
uc10s2,9,chronicdiseasemediator,0.9774265289306641
uc10s2,10,viewprescriptionrenewalneedsaction,0.9771184921264648
uc11e1,1,patientriskfactor,0.9694696068763733
uc11e1,2,surveysearchvalidator,0.9657968878746033
uc11e1,3,beanvalidator,0.9646791219711304
uc11e1,4,riskchecker,0.9646432995796204
uc11e1,5,htmlencoder,0.9640530347824097
uc11e1,6,procedurebeanloader,0.9624921679496765
uc11e1,7,heartdiseaserisks,0.96193927526474
uc11e1,8,emailbeanloader,0.9619091749191284
uc11e1,9,gender,0.9616987705230713
uc11e1,10,medicationbeanvalidator,0.9614593386650085
uc11e2,1,patientriskfactor,0.974951446056366
uc11e2,2,surveysearchvalidator,0.9720019102096558
uc11e2,3,beanvalidator,0.9707632660865784
uc11e2,4,riskchecker,0.9701611399650574
uc11e2,5,mailvalidator,0.9700033664703369
uc11e2,6,medicationbeanvalidator,0.9698196649551392
uc11e2,7,searchusersaction,0.9694833159446716
uc11e2,8,gender,0.9694812893867493
uc11e2,9,remotemonitoringdatabeanvalidator,0.9694750905036926
uc11e2,10,druginteractionvalidator,0.9694002270698547
uc11s1,1,viewreportaction,0.9919307231903076
uc11s1,2,reportadverseeventaction,0.9916322231292725
uc11s1,3,adverseeventsdata,0.9915872812271118
uc11s1,4,viewexpiredprescriptionsaction,0.9914752244949341
uc11s1,5,mydiagnosisaction,0.991336464881897
uc11s1,6,riskdao,0.9912785887718201
uc11s1,7,visitreminderreturnformloader,0.9911800622940063
uc11s1,8,emergencyreportaction,0.9909011125564575
uc11s1,9,hcplinkbean,0.9908672571182251
uc11s1,10,addofficevisitaction,0.9908382296562195
uc11s2,1,monitoradverseeventaction,0.9888388514518738
uc11s2,2,editphraction,0.9886124730110168
uc11s2,3,adverseeventsdata,0.9883471131324768
uc11s2,4,viewreportaction,0.988327145576477
uc11s2,5,addofficevisitaction,0.9881734251976013
uc11s2,6,viewmyrecordsaction,0.9878379106521606
uc11s2,7,riskdao,0.9876431822776794
uc11s2,8,viewexpiredprescriptionsaction,0.9875584840774536
uc11s2,9,editprescriptionaction,0.9875127673149109
uc11s2,10,visitreminderreturnformloader,0.9874610304832458
uc12,1,emergencyreportaction,0.9867948293685913
uc12,2,addofficevisitaction,0.9862335324287415
uc12,3,viewreportaction,0.9860938191413879
uc12,4,viewmyrecordsaction,0.9859039187431335
uc12,5,editphraction,0.9856455326080322
uc12,6,druginteractionbeanloader,0.9854606986045837
uc12,7,chronicdiseasemediator,0.9854503273963928
uc12,8,monitoradverseeventaction,0.985122799873352
uc12,9,visitreminderreturnformloader,0.9849324226379395
uc12,10,reportadverseeventaction,0.9849144220352173
uc13,1,addapptaction,0.9828026294708252
uc13,2,heartdiseaserisks,0.9815918207168579
uc13,3,chronicdiseaseriskaction,0.9813869595527649
uc13,4,type1diabetesrisks,0.9811452031135559
uc13,5,type2diabetesrisks,0.9811452031135559
uc13,6,genderfactor,0.9809490442276001
uc13,7,gender,0.9805755019187927
uc13,8,priordiagnosisfactor,0.9804511666297913
uc13,9,adderespaction,0.9804399013519287
uc13,10,agefactor,0.9801344275474548
uc13e1,1,patientriskfactor,0.9777582883834839
uc13e1,2,heartdiseaserisks,0.9716717004776001
uc13e1,3,gender,0.9710449576377869
uc13e1,4,medicationbeanvalidator,0.9706509113311768
uc13e1,5,surveysearchvalidator,0.9705566763877869
uc13e1,6,diagnosisbeanvalidator,0.9699440002441406
uc13e1,7,type2diabetesrisks,0.969919741153717
uc13e1,8,type1diabetesrisks,0.969919741153717
uc13e1,9,healthrecordformvalidator,0.9696561098098755
uc13e1,10,personnelvalidator,0.9695752859115601
uc15e1,1,patientriskfactor,0.9657208919525146
uc15e1,2,surveysearchvalidator,0.9634406566619873
uc15e1,3,riskchecker,0.9626054763793945
uc15e1,4,beanvalidator,0.9624525904655457
uc15e1,5,htmlencoder,0.9605295658111572
uc15e1,6,mailvalidator,0.9601549506187439
uc15e1,7,druginteractionvalidator,0.9598752856254578
uc15e1,8,adverseeventvalidator,0.9598560929298401
uc15e1,9,remotemonitoringdatabeanvalidator,0.9598537683486938
uc15e1,10,emailvalidator,0.9597176313400269
uc15s1,1,viewreportaction,0.9806216955184937
uc15s1,2,emergencyreportaction,0.98006671667099
uc15s1,3,druginteractionbeanloader,0.9800400733947754
uc15s1,4,viewmyrecordsaction,0.9798710942268372
uc15s1,5,chronicdiseasemediator,0.9795471429824829
uc15s1,6,transactiondao,0.9794562458992004
uc15s1,7,viewexpiredprescriptionsaction,0.9793700575828552
uc15s1,8,adverseeventsdata,0.9793210625648499
uc15s1,9,updateloinclistaction,0.9792347550392151
uc15s1,10,reportadverseeventaction,0.9791581034660339
uc15s2,1,viewmyrecordsaction,0.987703263759613
uc15s2,2,emergencyreportaction,0.9873818159103394
uc15s2,3,editphraction,0.9867534637451172
uc15s2,4,updateloinclistaction,0.9862748980522156
uc15s2,5,adverseeventsdata,0.9861550331115723
uc15s2,6,blackboxtestplan,0.9855538010597229
uc15s2,7,remotemonitoringdatabean,0.9848356246948242
uc15s2,8,patientbean,0.9846635460853577
uc15s2,9,riskdao,0.984152615070343
uc15s2,10,patientdao,0.9840951561927795
uc15s3,1,adverseeventsdata,0.9872249364852905
uc15s3,2,addofficevisitaction,0.9871341586112976
uc15s3,3,editphraction,0.9869628548622131
uc15s3,4,druginteractionbeanloader,0.9867247343063354
uc15s3,5,updateloinclistaction,0.9866706132888794
uc15s3,6,addhcpaction,0.9865081906318665
uc15s3,7,viewreportaction,0.9865074753761292
uc15s3,8,addremotemonitoringdataaction,0.9864089488983154
uc15s3,9,visitreminderreturnformloader,0.9863064885139465
uc15s3,10,reportadverseeventaction,0.9862301349639893
uc15s4,1,transactiondao,0.9835948944091797
uc15s4,2,operationalprofileloader,0.9834073781967163
uc15s4,3,remotemonitoringdatabean,0.9830908179283142
uc15s4,4,druginteractionbeanloader,0.9829670190811157
uc15s4,5,adverseeventbeanloader,0.9829380512237549
uc15s4,6,remotemonitoringdatabeanloader,0.9826821088790894
uc15s4,7,updateloinclistaction,0.9825218319892883
uc15s4,8,prescriptionreportbeanloader,0.9824782609939575
uc15s4,9,labprocedurebeanloader,0.9821175932884216
uc15s4,10,familybeanloader,0.9819326400756836
uc16,1,mydiagnosisaction,0.9878804087638855
uc16,2,searchusersaction,0.9871046543121338
uc16,3,transactiondao,0.9869300723075867
uc16,4,adverseeventsdata,0.9867548942565918
uc16,5,adverseeventbeanloader,0.9865896701812744
uc16,6,surveyloader,0.9865756034851074
uc16,7,riskchecker,0.9865606427192688
uc16,8,remotemonitoringdatabean,0.986429750919342
uc16,9,healthrecordsdao,0.9863520860671997
uc16,10,reportrequestbeanloader,0.9862155914306641
uc16e1,1,mydiagnosisaction,0.9856507182121277
uc16e1,2,druginteractionbeanloader,0.9854963421821594
uc16e1,3,searchusersaction,0.9851093888282776
uc16e1,4,patientriskfactor,0.9849978089332581
uc16e1,5,reportadverseeventaction,0.984889805316925
uc16e1,6,viewreportaction,0.984592080116272
uc16e1,7,visitreminderreturnformloader,0.9845137000083923
uc16e1,8,transactiontype,0.9844589233398438
uc16e1,9,gender,0.9844380617141724
uc16e1,10,medicationbeanloader,0.9844057559967041
uc17s1,1,viewprescriptionrenewalneedsaction,0.9843412041664124
uc17s1,2,viewreportaction,0.9841946959495544
uc17s1,3,reportadverseeventaction,0.98378986120224
uc17s1,4,heartdiseaserisks,0.9836803674697876
uc17s1,5,chronicdiseaseriskaction,0.9831883907318115
uc17s1,6,emergencyreportaction,0.9830359816551208
uc17s1,7,editprescriptionaction,0.9830095171928406
uc17s1,8,type2diabetesrisks,0.9828745126724243
uc17s1,9,type1diabetesrisks,0.9828745126724243
uc17s1,10,viewadverseeventaction,0.9826785326004028
uc17s2,1,stateselect,0.9836860299110413
uc17s2,2,addapptaction,0.9824195504188538
uc17s2,3,reportrequestbean,0.9823358058929443
uc17s2,4,adderespaction,0.9821526408195496
uc17s2,5,gender,0.9815264344215393
uc17s2,6,adduapaction,0.9815059304237366
uc17s2,7,addofficevisitaction,0.980988621711731
uc17s2,8,chronicdiseasemediator,0.9809376001358032
uc17s2,9,viewmyaccesslogaction,0.9808934926986694
uc17s2,10,updatehospitallistaction,0.9808454513549805
uc17s3,1,riskchecker,0.9806233644485474
uc17s3,2,patientriskfactor,0.9801945686340332
uc17s3,3,beanvalidator,0.9790828824043274
uc17s3,4,mydiagnosisaction,0.9777327179908752
uc17s3,5,gender,0.9770715832710266
uc17s3,6,allergybeanloader,0.9769939184188843
uc17s3,7,procedurebeanloader,0.9769471883773804
uc17s3,8,transactiontype,0.9768807888031006
uc17s3,9,sessiontimeoutlistener,0.9767512679100037
uc17s3,10,transactionbean,0.9764144420623779
uc18e1,1,patientriskfactor,0.9621263742446899
uc18e1,2,surveysearchvalidator,0.9575245380401611
uc18e1,3,mailvalidator,0.9547293186187744
uc18e1,4,medicationbeanvalidator,0.9546765685081482
uc18e1,5,druginteractionvalidator,0.9546443819999695
uc18e1,6,emailvalidator,0.9545442461967468
uc18e1,7,htmlencoder,0.9543473124504089
uc18e1,8,adverseeventvalidator,0.9543443322181702
uc18e1,9,beanvalidator,0.9539387822151184
uc18e1,10,remotemonitoringdatabeanvalidator,0.9538094997406006
uc18e2,1,patientriskfactor,0.9621263742446899
uc18e2,2,surveysearchvalidator,0.9575245380401611
uc18e2,3,mailvalidator,0.9547293186187744
uc18e2,4,medicationbeanvalidator,0.9546765685081482
uc18e2,5,druginteractionvalidator,0.9546443819999695
uc18e2,6,emailvalidator,0.9545442461967468
uc18e2,7,htmlencoder,0.9543473124504089
uc18e2,8,adverseeventvalidator,0.9543443322181702
uc18e2,9,beanvalidator,0.9539387822151184
uc18e2,10,remotemonitoringdatabeanvalidator,0.9538094997406006
uc18s1,1,patientriskfactor,0.9696669578552246
uc18s1,2,htmlencoder,0.9680924415588379
uc18s1,3,heartdiseaserisks,0.9667742252349854
uc18s1,4,gender,0.9666298031806946
uc18s1,5,beanvalidator,0.9654897451400757
uc18s1,6,validationformat,0.9654353260993958
uc18s1,7,searchusersaction,0.9645330905914307
uc18s1,8,loincbeanloader,0.9644747972488403
uc18s1,9,procedurebeanloader,0.9643848538398743
uc18s1,10,emailbeanloader,0.964175820350647
uc18s2,1,remotemonitoringdatabeanvalidator,0.983819842338562
uc18s2,2,healthrecordformvalidator,0.9835479855537415
uc18s2,3,addpersonnelvalidator,0.9835249781608582
uc18s2,4,searchusersaction,0.9835112690925598
uc18s2,5,allergybeanvalidator,0.9834126830101013
uc18s2,6,medicationbeanvalidator,0.983395516872406
uc18s2,7,addpatientvalidator,0.9833909869194031
uc18s2,8,edithealthhistoryaction,0.983199417591095
uc18s2,9,editpersonnelaction,0.9830591678619385
uc18s2,10,hospitalbeanvalidator,0.9830270409584045
uc19e1,1,patientriskfactor,0.9708105325698853
uc19e1,2,htmlencoder,0.9667214155197144
uc19e1,3,surveysearchvalidator,0.9666985869407654
uc19e1,4,beanvalidator,0.9660448431968689
uc19e1,5,heartdiseaserisks,0.9658676385879517
uc19e1,6,riskchecker,0.9658014178276062
uc19e1,7,gender,0.9645339250564575
uc19e1,8,procedurebeanloader,0.9637751579284668
uc19e1,9,emailbeanloader,0.9635597467422485
uc19e1,10,medicationbeanvalidator,0.9630321264266968
uc19e2,1,patientriskfactor,0.9709028005599976
uc19e2,2,surveysearchvalidator,0.9696902632713318
uc19e2,3,htmlencoder,0.9684878587722778
uc19e2,4,beanvalidator,0.9683837294578552
uc19e2,5,mailvalidator,0.9681105613708496
uc19e2,6,remotemonitoringdatabeanvalidator,0.9673779606819153
uc19e2,7,emailbeanloader,0.9671434760093689
uc19e2,8,procedurebeanloader,0.9670044183731079
uc19e2,9,medicationbeanvalidator,0.9669700860977173
uc19e2,10,emailvalidator,0.9669448137283325
uc19s1,1,medicationbeanvalidator,0.9814438819885254
uc19s1,2,remotemonitoringdatabeanvalidator,0.9812609553337097
uc19s1,3,druginteractionvalidator,0.9812372326850891
