requirement_id,rank,code_file,score
uc10e1,1,healthrecordformvalidator,0.4883024990558624
uc10e1,2,viewofficevisitaction,0.4777497947216034
uc10e1,3,blackboxtestplan,0.47184720635414124
uc10e1,4,nohealthrecordsexception,0.4629199206829071
uc10e1,5,hospitalbeanvalidator,0.4602879285812378
uc10e1,6,addpatientvalidator,0.44581925868988037
uc10e1,7,chronicdiseasemediator,0.443744957447052
uc10e1,8,personneldao,0.4394829273223877
uc10e1,9,medicationbeanvalidator,0.4393390119075775
uc10e1,10,patientdao,0.4385719299316406
uc10e2,1,blackboxtestplan,0.526594340801239
uc10e2,2,personneldao,0.4522104263305664
uc10e2,3,nohealthrecordsexception,0.439250111579895
uc10e2,4,chronicdiseaseriskaction,0.4175782799720764
uc10e2,5,mydiagnosisaction,0.4134610593318939
uc10e2,6,viewofficevisitaction,0.41296204924583435
uc10e2,7,visitreminderreturnformloader,0.4068523645401001
uc10e2,8,patientdao,0.4067847430706024
uc10e2,9,viewreportaction,0.4063737094402313
uc10e2,10,addpatientvalidator,0.4038941562175751
uc10s1,1,editofficevisitform,0.6095690131187439
uc10s1,2,blackboxtestplan,0.5971065163612366
uc10s1,3,healthrecordform,0.5613113045692444
uc10s1,4,healthrecord,0.5448907613754272
uc10s1,5,patientdao,0.543757975101471
uc10s1,6,personneldao,0.5403435230255127
uc10s1,7,officevisitdao,0.533721923828125
uc10s1,8,patientbean,0.5328090786933899
uc10s1,9,apptbean,0.5314636826515198
uc10s1,10,updatecptcodelistaction,0.5270271897315979
uc10s2,1,blackboxtestplan,0.42567750811576843
uc10s2,2,adverseeventsdata,0.4100450277328491
uc10s2,3,apptbean,0.40776023268699646
uc10s2,4,mydiagnosisaction,0.39733442664146423
uc10s2,5,surveyresultbean,0.3775678277015686
uc10s2,6,visitremindersdao,0.3369259536266327
uc10s2,7,patientdao,0.30889132618904114
uc10s2,8,weightfactor,0.3054405450820923
uc10s2,9,healthrecord,0.3046146035194397
uc10s2,10,viewprescriptionrenewalneedsaction,0.3004504442214966
uc11e1,1,declarehcpaction,0.5502104759216309
uc11e1,2,blackboxtestplan,0.526530921459198
uc11e1,3,mydiagnosisaction,0.5119240283966064
uc11e1,4,viewvisitedhcpsaction,0.4754481911659241
uc11e1,5,addhcpaction,0.47096729278564453
uc11e1,6,surveyresultbean,0.4659254848957062
uc11e1,7,managehospitalassignmentsaction,0.4586668610572815
uc11e1,8,apptbean,0.4507388174533844
uc11e1,9,referralmanagementaction,0.4451529085636139
uc11e1,10,hcpvisitbean,0.4337126314640045
uc11e2,1,blackboxtestplan,0.5196113586425781
uc11e2,2,personneldao,0.4500371813774109
uc11e2,3,searchusersaction,0.4232165217399597
uc11e2,4,mydiagnosisaction,0.4110817313194275
uc11e2,5,nohealthrecordsexception,0.4071546494960785
uc11e2,6,patientdao,0.4040730595588684
uc11e2,7,viewreportaction,0.39169901609420776
uc11e2,8,visitreminderreturnformloader,0.391007661819458
uc11e2,9,viewofficevisitaction,0.3874703645706177
uc11e2,10,chronicdiseasemediator,0.3851854205131531
uc11s1,1,mydiagnosisaction,0.6948629021644592
uc11s1,2,blackboxtestplan,0.6696214079856873
uc11s1,3,surveyresultbean,0.6245421767234802
uc11s1,4,hcpdiagnosisbean,0.6084818243980408
uc11s1,5,editofficevisitform,0.601743221282959
uc11s1,6,viewofficevisitaction,0.5828699469566345
uc11s1,7,viewreportaction,0.5807821154594421
uc11s1,8,viewpatientofficevisithistoryaction,0.5727058053016663
uc11s1,9,viewprescriptionrecordsaction,0.5675784945487976
uc11s1,10,hcplinkbean,0.5612378716468811
uc11s2,1,blackboxtestplan,0.5728879570960999
uc11s2,2,patientdao,0.5557053685188293
uc11s2,3,editofficevisitaction,0.5540728569030762
uc11s2,4,viewexpiredprescriptionsaction,0.534163236618042
uc11s2,5,viewreportaction,0.5319592952728271
uc11s2,6,viewpatientofficevisithistoryaction,0.5226098895072937
uc11s2,7,editofficevisitform,0.5194913148880005
uc11s2,8,officevisitdao,0.5162338018417358
uc11s2,9,apptbean,0.5156523585319519
uc11s2,10,edithealthhistoryaction,0.5026457905769348
uc12,1,addremotemonitoringdataaction,0.4902457594871521
uc12,2,viewofficevisitaction,0.48619404435157776
uc12,3,patientdao,0.4807470738887787
uc12,4,personneldao,0.4677351415157318
uc12,5,editrepresentativesaction,0.4623650014400482
uc12,6,viewpersonnelaction,0.46110743284225464
uc12,7,resetpasswordaction,0.4602835178375244
uc12,8,viewpatientofficevisithistoryaction,0.4583684504032135
uc12,9,officevisitbaseaction,0.45738109946250916
uc12,10,viewsurveyresultaction,0.44110623002052307
uc13,1,blackboxtestplan,0.42902353405952454
uc13,2,editofficevisitform,0.3984748125076294
uc13,3,editrepresentativesaction,0.39480146765708923
uc13,4,managehospitalassignmentsaction,0.38209405541419983
uc13,5,editmonitoringlistaction,0.35505804419517517
uc13,6,apptbean,0.35373860597610474
uc13,7,addhcpaction,0.33515501022338867
uc13,8,gender,0.32346487045288086
uc13,9,personneldao,0.32325974106788635
uc13,10,healthrecordform,0.3209623396396637
uc13e1,1,viewofficevisitaction,0.47110819816589355
uc13e1,2,blackboxtestplan,0.47092169523239136
uc13e1,3,personneldao,0.4545650780200958
uc13e1,4,patientdao,0.4541591703891754
uc13e1,5,healthrecordformvalidator,0.44763922691345215
uc13e1,6,nohealthrecordsexception,0.44344282150268555
uc13e1,7,chronicdiseasemediator,0.44313856959342957
uc13e1,8,resetpasswordaction,0.4327586889266968
uc13e1,9,hospitalbeanvalidator,0.4273661673069
uc13e1,10,managehospitalassignmentsaction,0.4235169291496277
uc15e1,1,resetpasswordaction,0.45649877190589905
uc15e1,2,securityqavalidator,0.42634207010269165
uc15e1,3,viewmyapptsaction,0.42076969146728516
uc15e1,4,transactiontype,0.4108739495277405
uc15e1,5,appttypebeanvalidator,0.3974480628967285
uc15e1,6,editofficevisitvalidator,0.39537426829338074
uc15e1,7,role,0.3894890546798706
uc15e1,8,hospitalbeanvalidator,0.3891436457633972
uc15e1,9,addpersonnelvalidator,0.38810157775878906
uc15e1,10,diagnosisbeanvalidator,0.3871867060661316
uc15s1,1,updatecptcodelistaction,0.6397730708122253
uc15s1,2,editofficevisitform,0.6144249439239502
uc15s1,3,cptcodesdao,0.5602830052375793
uc15s1,4,blackboxtestplan,0.5530550479888916
uc15s1,5,healthrecordform,0.5219882726669312
uc15s1,6,medicationbean,0.5063900351524353
uc15s1,7,personneldao,0.5048651099205017
uc15s1,8,surveyresultbean,0.49987179040908813
uc15s1,9,adverseeventbean,0.49892136454582214
uc15s1,10,updateicdcodelistaction,0.4970787465572357
uc15s2,1,updateicdcodelistaction,0.5383478999137878
uc15s2,2,blackboxtestplan,0.5375770926475525
uc15s2,3,mydiagnosisaction,0.524869978427887
uc15s2,4,diagnosisbean,0.5123893022537231
uc15s2,5,icdcodesdao,0.5052922964096069
uc15s2,6,officevisitdao,0.503263533115387
uc15s2,7,chronicdiseasemediator,0.48170578479766846
uc15s2,8,hcpdiagnosisbean,0.47875848412513733
uc15s2,9,chronicdiseaseriskaction,0.47634655237197876
uc15s2,10,editofficevisitform,0.46804705262184143
uc15s3,1,updatendcodelistaction,0.5701566934585571
uc15s3,2,adverseeventbean,0.5389370918273926
uc15s3,3,ndcodesdao,0.5345820188522339
uc15s3,4,blackboxtestplan,0.5331950783729553
uc15s3,5,editofficevisitform,0.530800998210907
uc15s3,6,hcplinkbean,0.5274612903594971
uc15s3,7,hcpdiagnosisbean,0.5244030356407166
uc15s3,8,viewofficevisitaction,0.5194243788719177
uc15s3,9,updateicdcodelistaction,0.5135474801063538
uc15s3,10,mydiagnosisaction,0.5032674670219421
uc15s4,1,updateloinclistaction,0.6432136297225952
uc15s4,2,hcpdiagnosisbean,0.5982955694198608
uc15s4,3,editofficevisitform,0.5956724882125854
uc15s4,4,personneldao,0.59307861328125
uc15s4,5,updatecptcodelistaction,0.5697248578071594
uc15s4,6,officevisitdao,0.5659804344177246
uc15s4,7,icdcodesdao,0.5610516667366028
uc15s4,8,labproceduredao,0.5543375611305237
uc15s4,9,cptcodesdao,0.5524489283561707
uc15s4,10,patientdao,0.5514241456985474
uc16,1,blackboxtestplan,0.577630877494812
uc16,2,visitremindersdao,0.5474698543548584
uc16,3,officevisitdao,0.5036123394966125
uc16,4,healthrecord,0.4961804151535034
uc16,5,chronicdiseasemediator,0.49454522132873535
uc16,6,type1diabetesrisks,0.48255136609077454
uc16,7,type2diabetesrisks,0.48255136609077454
uc16,8,patientdao,0.48054906725883484
uc16,9,viewreportaction,0.4689560830593109
uc16,10,chronicdiseaseriskaction,0.4649035930633545
uc16e1,1,blackboxtestplan,0.4572015404701233
uc16e1,2,mydiagnosisaction,0.41759514808654785
uc16e1,3,viewreportaction,0.40386763215065
uc16e1,4,type1diabetesrisks,0.3752138614654541
uc16e1,5,type2diabetesrisks,0.3752138614654541
uc16e1,6,visitremindersdao,0.35542240738868713
uc16e1,7,officevisitdao,0.335181325674057
uc16e1,8,apptbean,0.3293854892253876
uc16e1,9,priordiagnosisfactor,0.32794928550720215
uc16e1,10,nohealthrecordsexception,0.3272426128387451
uc17s1,1,blackboxtestplan,0.4482101798057556
uc17s1,2,chronicdiseaseriskaction,0.4431959390640259
uc17s1,3,emergencyreportaction,0.430171936750412
uc17s1,4,chronicdiseasemediator,0.40153810381889343
uc17s1,5,updateicdcodelistaction,0.3995174467563629
uc17s1,6,type1diabetesrisks,0.39622095227241516
uc17s1,7,type2diabetesrisks,0.39622095227241516
uc17s1,8,viewprescriptionrenewalneedsaction,0.38678836822509766
uc17s1,9,diagnosisbean,0.37448394298553467
uc17s1,10,viewmyrecordsaction,0.37425529956817627
uc17s2,1,apptbean,0.4431777000427246
uc17s2,2,visitremindersdao,0.4308907687664032
uc17s2,3,getvisitremindersaction,0.4304690659046173
uc17s2,4,blackboxtestplan,0.4033471643924713
uc17s2,5,viewprescriptionrenewalneedsaction,0.39619970321655273
uc17s2,6,riskdao,0.38402625918388367
uc17s2,7,adverseeventbean,0.36994579434394836
uc17s2,8,healthrecord,0.3616122305393219
uc17s2,9,emergencyreportaction,0.35346266627311707
uc17s2,10,adverseeventsdata,0.3487940728664398
uc17s3,1,reportadverseeventaction,0.4164761006832123
uc17s3,2,getvisitremindersaction,0.3742676079273224
uc17s3,3,blackboxtestplan,0.3735118806362152
uc17s3,4,adverseeventsdata,0.3657342791557312
uc17s3,5,emergencyreportaction,0.3613535463809967
uc17s3,6,agefactor,0.3482084572315216
uc17s3,7,monitoradverseeventaction,0.320880264043808
uc17s3,8,apptbean,0.30811068415641785
uc17s3,9,childhoodinfectionfactor,0.3045061230659485
uc17s3,10,visitremindersdao,0.3037864863872528
uc18e1,1,managehospitalassignmentsaction,0.4701105058193207
uc18e1,2,editofficevisitform,0.4509219229221344
uc18e1,3,role,0.4406239092350006
uc18e1,4,hospitalbeanvalidator,0.43722647428512573
uc18e1,5,personneldao,0.4247519373893738
uc18e1,6,nohealthrecordsexception,0.39736294746398926
uc18e1,7,resetpasswordaction,0.39374834299087524
uc18e1,8,viewmyapptsaction,0.383113831281662
uc18e1,9,chronicdiseasemediator,0.38146576285362244
uc18e1,10,addpatientaction,0.3735954761505127
uc18e2,1,managehospitalassignmentsaction,0.4701105058193207
uc18e2,2,editofficevisitform,0.4509219229221344
uc18e2,3,role,0.4406239092350006
uc18e2,4,hospitalbeanvalidator,0.43722647428512573
uc18e2,5,personneldao,0.4247519373893738
uc18e2,6,nohealthrecordsexception,0.39736294746398926
uc18e2,7,resetpasswordaction,0.39374834299087524
uc18e2,8,viewmyapptsaction,0.383113831281662
uc18e2,9,chronicdiseasemediator,0.38146576285362244
uc18e2,10,addpatientaction,0.3735954761505127
uc18s1,1,hospitalbean,0.44003406167030334
uc18s1,2,referralbean,0.3994157016277313
uc18s1,3,editofficevisitform,0.388725221157074
uc18s1,4,personnelbean,0.38206812739372253
uc18s1,5,adverseeventbean,0.3716616630554199
uc18s1,6,officevisitbean,0.3678523898124695
uc18s1,7,patientvisitbean,0.3668118715286255
uc18s1,8,blackboxtestplan,0.3568044900894165
uc18s1,9,visitreminderreturnform,0.35474473237991333
uc18s1,10,hcpdiagnosisbean,0.3545776903629303
uc18s2,1,editofficevisitform,0.4957909882068634
uc18s2,2,managehospitalassignmentsaction,0.38639387488365173
uc18s2,3,editmonitoringlistaction,0.3701218366622925
uc18s2,4,updatecptcodelistaction,0.368478387594223
uc18s2,5,editprescriptionaction,0.35961923003196716
uc18s2,6,editofficevisitaction,0.34541693329811096
uc18s2,7,hospitalbean,0.34170961380004883
uc18s2,8,updatendcodelistaction,0.337643027305603
uc18s2,9,officevisitbean,0.33695366978645325
uc18s2,10,surveyaction,0.335161030292511
uc19e1,1,blackboxtestplan,0.4324445426464081
uc19e1,2,apptbean,0.3576047718524933
uc19e1,3,declarehcpaction,0.35608670115470886
uc19e1,4,officevisitdao,0.35496985912323
uc19e1,5,managehospitalassignmentsaction,0.3393137753009796
uc19e1,6,mydiagnosisaction,0.3336009085178375
uc19e1,7,viewreportaction,0.33236420154571533
uc19e1,8,referralmanagementaction,0.32466140389442444
uc19e1,9,patientdao,0.32370418310165405
uc19e1,10,personneldao,0.3173397183418274
uc19e2,1,blackboxtestplan,0.5052335262298584
uc19e2,2,mydiagnosisaction,0.3669775724411011
uc19e2,3,addhcpaction,0.3620709180831909
uc19e2,4,apptbean,0.3586391508579254
uc19e2,5,officevisitdao,0.3509141504764557
uc19e2,6,surveyresultbean,0.33132126927375793
uc19e2,7,personneldao,0.3284705877304077
uc19e2,8,viewreportaction,0.32819220423698425
uc19e2,9,managehospitalassignmentsaction,0.3272579312324524
uc19e2,10,nohealthrecordsexception,0.32306185364723206
uc19s1,1,viewprescriptionrenewalneedsaction,0.41788163781166077
uc19s1,2,viewexpiredprescriptionsaction,0.4085268974304199
uc19s1,3,viewmymessagesaction,0.4035309851169586
uc19s1,4,viewprescriptionrecordsaction,0.3812710642814636
uc19s1,5,blackboxtestplan,0.3745017945766449
uc19s1,6,prescriptionreportbean,0.37400519847869873
uc19s1,7,viewreportaction,0.37308597564697266
uc19s1,8,hcplinkbean,0.3598996698856354
uc19s1,9,apptbean,0.338138610124588
uc19s1,10,generatecalendaraction,0.3314240276813507
uc19s2,1,viewreportaction,0.4320838749408722
uc19s2,2,viewprescriptionrenewalneedsaction,0.4204927384853363
